,0.320,0.420,0.530,0.550
0.005,0.550,0.580,0.590,0.610
0.013,0.910,0.930,0.960,0.970
0.025,1.010,1.030,1.060,1.070
0.050,0.970,0.980,1.020,1.030
0.075,0.870,0.880,0.930,0.940
0.100,0.810,0.820,0.870,0.880
0.150,0.710,0.720,0.770,0.780
0.200,0.620,0.630,0.680,0.690
0.250,0.560,0.570,0.620,0.630
0.300,0.480,0.490,0.540,0.550
0.350,0.410,0.410,0.470,0.480
0.400,0.350,0.360,0.410,0.420
0.450,0.300,0.300,0.360,0.370
0.500,0.260,0.260,0.320,0.330
0.550,0.230,0.230,0.280,0.290
0.600,0.190,0.190,0.250,0.260
0.700,0.120,0.130,0.180,0.180
0.750,0.090,0.090,0.140,0.150
0.800,0.050,0.050,0.100,0.110
0.850,-0.020,-0.020,0.020,0.030
0.950,-0.280,-0.300,-0.270,-0.260
