xc,yb,surf,section,cp,std
0.95,0,U,1,-0.04,
0.85,0,U,1,-0.18,
0.75,0,U,1,-0.265,
0.65,0,U,1,-0.41,
0.5,0,U,1,-0.59,
0.35,0,U,1,-0.785,
0.225,0,U,1,-0.825,
0.15,0,U,1,-0.865,
0.08,0,U,1,-0.92,
0.03,0,U,1,-1.065,
0.01,0,U,1,-1.225,
0,0,U,1,0.255,
0.01,0,L,1,0.985,
0.03,0,L,1,0.96,
0.08,0,L,1,0.775,
0.15,0,L,1,0.635,
0.225,0,L,1,0.525,
0.35,0,L,1,0.38,
0.5,0,L,1,0.295,
0.65,0,L,1,0.255,
0.75,0,L,1,0.21,
0.85,0,L,1,0.195,
0.95,0,L,1,0.17,
0.95,0.105,U,2,0.07,
0.85,0.105,U,2,-0.07,
0.75,0.105,U,2,-0.2,
0.65,0.105,U,2,-0.33,
0.5,0.105,U,2,-0.535,
0.35,0.105,U,2,-0.74,
0.225,0.105,U,2,-0.94,
0.15,0.105,U,2,-1.03,
0.08,0.105,U,2,-1.315,
0.03,0.105,U,2,-2.01,
0.01,0.105,U,2,-2.715,
0,0.105,U,2,-2.245,
0.01,0.105,L,2,0.015,
0.03,0.105,L,2,0.585,
0.08,0.105,L,2,0.66,
0.15,0.105,L,2,0.55,
0.225,0.105,L,2,0.46,
0.35,0.105,L,2,0.34,
0.5,0.105,L,2,0.265,
0.65,0.105,L,2,0.23,
0.75,0.105,L,2,0.2,
0.85,0.105,L,2,0.175,
0.95,0.105,L,2,0.155,
0.95,0.21,U,3,0.08,
0.85,0.21,U,3,-0.035,
0.75,0.21,U,3,-0.16,
0.65,0.21,U,3,-0.295,
0.5,0.21,U,3,-0.495,
0.35,0.21,U,3,-0.735,
0.225,0.21,U,3,-0.96,
0.15,0.21,U,3,-1.19,
0.08,0.21,U,3,-1.575,
0.03,0.21,U,3,-2.445,
0.01,0.21,U,3,-3.595,
0,0.21,U,3,-3.755,
0.01,0.21,L,3,-0.195,
0.03,0.21,L,3,0.435,
0.08,0.21,L,3,0.61,
0.15,0.21,L,3,0.52,
0.225,0.21,L,3,0.43,
0.35,0.21,L,3,0.31,
0.5,0.21,L,3,0.245,
0.65,0.21,L,3,0.21,
0.75,0.21,L,3,0.175,
0.85,0.21,L,3,0.16,
0.95,0.21,L,3,0.14,
0.7,0.87,U,4,-0.745,
0.5,0.87,U,4,-0.735,
0.35,0.87,U,4,-0.815,
0.25,0.87,U,4,-0.895,
0.15,0.87,U,4,-1.23,
0.1,0.87,U,4,-1.545,
0.05,0.87,U,4,-2.22,
0.025,0.87,U,4,-2.865,
0,0.87,U,4,-2.67,
0.025,0.87,L,4,-0.895,
0.05,0.87,L,4,-0.43,
0.1,0.87,L,4,-0.13,
0.15,0.87,L,4,-0.04,
0.25,0.87,L,4,0.05,
0.35,0.87,L,4,0.045,
0.5,0.87,L,4,0.08,
0.7,0.87,L,4,0.09,
