xc,yb,surf,section,cp,std
0.95,0,U,1,-0.045,
0.85,0,U,1,-0.175,
0.75,0,U,1,-0.265,
0.65,0,U,1,-0.405,
0.5,0,U,1,-0.575,
0.35,0,U,1,-0.78,
0.225,0,U,1,-0.815,
0.15,0,U,1,-0.855,
0.08,0,U,1,-0.87,
0.03,0,U,1,-1.005,
0.01,0,U,1,-1.14,
0,0,U,1,0.31,
0.01,0,L,1,0.985,
0.03,0,L,1,0.94,
0.08,0,L,1,0.74,
0.15,0,L,1,0.6,
0.225,0,L,1,0.495,
0.35,0,L,1,0.35,
0.5,0,L,1,0.265,
0.65,0,L,1,0.225,
0.75,0,L,1,0.185,
0.85,0,L,1,0.175,
0.95,0,L,1,0.15,
0.7,0.87,U,4,-0.665,
0.5,0.87,U,4,-0.655,
0.35,0.87,U,4,-0.825,
0.25,0.87,U,4,-0.865,
0.15,0.87,U,4,-1.07,
0.1,0.87,U,4,-1.42,
0.05,0.87,U,4,-2.095,
0.025,0.87,U,4,-2.765,
0,0.87,U,4,-2.44,
0.025,0.87,L,4,-0.785,
0.05,0.87,L,4,-0.365,
0.1,0.87,L,4,-0.1,
0.15,0.87,L,4,-0.025,
0.25,0.87,L,4,0.05,
0.35,0.87,L,4,0.035,
0.5,0.87,L,4,0.07,
0.7,0.87,L,4,0.075,
