xc,yb,surf,section,cp,std
0.95,0,U,1,-0.025,
0.85,0,U,1,-0.115,
0.75,0,U,1,-0.175,
0.65,0,U,1,-0.265,
0.5,0,U,1,-0.37,
0.35,0,U,1,-0.48,
0.225,0,U,1,-0.445,
0.15,0,U,1,-0.41,
0.08,0,U,1,-0.34,
0.03,0,U,1,-0.245,
0.01,0,U,1,-0.09,
0,0,U,1,0.905,
0.01,0,L,1,0.87,
0.03,0,L,1,0.63,
0.08,0,L,1,0.35,
0.15,0,L,1,0.22,
0.225,0,L,1,0.12,
0.35,0,L,1,0.005,
0.5,0,L,1,-0.025,
0.65,0,L,1,-0.01,
0.75,0,L,1,-0.01,
0.85,0,L,1,0.025,
0.95,0,L,1,0.045,
0.95,0.105,U,2,0.055,
0.85,0.105,U,2,-0.04,
0.75,0.105,U,2,-0.115,
0.65,0.105,U,2,-0.2,
0.5,0.105,U,2,-0.325,
0.35,0.105,U,2,-0.45,
0.225,0.105,U,2,-0.53,
0.15,0.105,U,2,-0.55,
0.08,0.105,U,2,-0.585,
0.03,0.105,U,2,-0.705,
0.01,0.105,U,2,-0.65,
0,0.105,U,2,0.125,
0.01,0.105,L,2,0.57,
0.03,0.105,L,2,0.465,
0.08,0.105,L,2,0.28,
0.15,0.105,L,2,0.13,
0.225,0.105,L,2,0.06,
0.35,0.105,L,2,-0.025,
0.5,0.105,L,2,-0.03,
0.65,0.105,L,2,0,
0.75,0.105,L,2,0.03,
0.85,0.105,L,2,0.035,
0.95,0.105,L,2,0.075,
0.95,0.21,U,3,0.07,
0.85,0.21,U,3,-0.02,
0.75,0.21,U,3,-0.08,
0.65,0.21,U,3,-0.165,
0.5,0.21,U,3,-0.29,
0.35,0.21,U,3,-0.445,
0.225,0.21,U,3,-0.555,
0.15,0.21,U,3,-0.615,
0.08,0.21,U,3,-0.685,
0.03,0.21,U,3,-0.855,
0.01,0.21,U,3,-0.87,
0,0.21,U,3,-0.17,
0.01,0.21,L,3,0.53,
0.03,0.21,L,3,0.455,
0.08,0.21,L,3,0.245,
0.15,0.21,L,3,0.11,
0.225,0.21,L,3,0.035,
0.35,0.21,L,3,-0.035,
0.5,0.21,L,3,-0.03,
0.65,0.21,L,3,0.015,
0.75,0.21,L,3,0.015,
0.85,0.21,L,3,0.045,
0.95,0.21,L,3,0.075,
0.7,0.87,U,4,-0.06,
0.5,0.87,U,4,-0.21,
0.35,0.87,U,4,-0.34,
0.25,0.87,U,4,-0.44,
0.15,0.87,U,4,-0.575,
0.1,0.87,U,4,-0.64,
0.05,0.87,U,4,-0.73,
0.025,0.87,U,4,-0.79,
0,0.87,U,4,-0.41,
0.025,0.87,L,4,0.065,
0.05,0.87,L,4,0.085,
0.1,0.87,L,4,0.03,
0.15,0.87,L,4,0.01,
0.25,0.87,L,4,-0.015,
0.35,0.87,L,4,-0.05,
0.5,0.87,L,4,-0.005,
0.7,0.87,L,4,0.035,
