xc,yb,surf,section,cp,std
0.85,0,U,1,-0.08,
0.75,0,U,1,-0.125,
0.65,0,U,1,-0.195,
0.5,0,U,1,-0.265,
0.35,0,U,1,-0.33,
0.225,0,U,1,-0.25,
0.15,0,U,1,-0.19,
0.08,0,U,1,-0.08,
0.03,0,U,1,0.09,
0.01,0,U,1,0.335,
0,0,U,1,1,
0.01,0,L,1,0.625,
0.03,0,L,1,0.335,
0.08,0,L,1,0.085,
0.15,0,L,1,-0.025,
0.225,0,L,1,-0.105,
0.35,0,L,1,-0.195,
0.5,0,L,1,-0.185,
0.65,0,L,1,-0.14,
0.75,0,L,1,-0.09,
0.85,0,L,1,-0.05,
0.95,0,L,1,-0.005,
0.95,0.105,U,2,0.05,
0.85,0.105,U,2,-0.02,
0.75,0.105,U,2,-0.08,
0.65,0.105,U,2,-0.145,
0.35,0.105,U,2,-0.315,
0.225,0.105,U,2,-0.325,
0.15,0.105,U,2,-0.29,
0.08,0.105,U,2,-0.24,
0.03,0.105,U,2,-0.18,
0.01,0.105,U,2,0.025,
0,0.105,U,2,0.52,
0.01,0.105,L,2,0.345,
0.03,0.105,L,2,0.165,
0.08,0.105,L,2,-0.005,
0.15,0.105,L,2,-0.125,
0.225,0.105,L,2,-0.17,
0.35,0.105,L,2,-0.21,
0.5,0.105,L,2,-0.17,
0.85,0.105,L,2,-0.01,
0.95,0.105,L,2,0.05,
0.95,0.21,U,3,0.065,
0.85,0.21,U,3,0,
0.75,0.21,U,3,-0.055,
0.65,0.21,U,3,-0.12,
0.35,0.21,U,3,-0.32,
0.225,0.21,U,3,-0.345,
0.15,0.21,U,3,-0.345,
0.08,0.21,U,3,-0.3,
0.03,0.21,U,3,-0.24,
0.01,0.21,U,3,-0.05,
0,0.21,U,3,0.44,
0.01,0.21,L,3,0.35,
0.03,0.21,L,3,0.145,
0.08,0.21,L,3,-0.065,
0.15,0.21,L,3,-0.16,
0.225,0.21,L,3,-0.195,
0.35,0.21,L,3,-0.22,
0.5,0.21,L,3,-0.165,
0.65,0.21,L,3,-0.08,
0.75,0.21,L,3,-0.04,
0.85,0.21,L,3,-0.005,
0.95,0.21,L,3,0.055,
0.7,0.87,U,4,-0.015,
0.5,0.87,U,4,-0.125,
0.35,0.87,U,4,-0.205,
0.25,0.87,U,4,-0.24,
0.15,0.87,U,4,-0.27,
0.1,0.87,U,4,-0.26,
0.05,0.87,U,4,-0.235,
0.025,0.87,U,4,-0.19,
0,0.87,U,4,-0.05,
0.025,0.87,L,4,0.02,
0.05,0.87,L,4,-0.015,
0.1,0.87,L,4,-0.08,
0.15,0.87,L,4,-0.12,
0.25,0.87,L,4,-0.135,
0.35,0.87,L,4,-0.145,
0.5,0.87,L,4,-0.06,
0.7,0.87,L,4,0.005,
