xc,yb,surf,section,cp,std
0.85,0,U,1,-0.1,
0.75,0,U,1,-0.145,
0.65,0,U,1,-0.225,
0.5,0,U,1,-0.305,
0.35,0,U,1,-0.39,
0.225,0,U,1,-0.325,
0.15,0,U,1,-0.27,
0.08,0,U,1,-0.175,
0.03,0,U,1,-0.025,
0.01,0,U,1,0.2,
0,0,U,1,0.95,
0.01,0,L,1,0.72,
0.03,0,L,1,0.435,
0.08,0,L,1,0.18,
0.15,0,L,1,0.06,
0.225,0,L,1,-0.03,
0.35,0,L,1,-0.13,
0.5,0,L,1,-0.135,
0.65,0,L,1,-0.1,
0.75,0,L,1,-0.06,
0.85,0,L,1,-0.035,
0.95,0,L,1,0.005,
0.95,0.105,U,2,0.05,
0.85,0.105,U,2,-0.03,
0.75,0.105,U,2,-0.1,
0.65,0.105,U,2,-0.175,
0.5,0.105,U,2,-0.26,
0.35,0.105,U,2,-0.37,
0.225,0.105,U,2,-0.395,
0.15,0.105,U,2,-0.385,
0.08,0.105,U,2,-0.36,
0.03,0.105,U,2,-0.345,
0.01,0.105,U,2,-0.18,
0,0.105,U,2,0.43,
0.01,0.105,L,2,0.45,
0.03,0.105,L,2,0.275,
0.08,0.105,L,2,0.1,
0.15,0.105,L,2,-0.04,
0.225,0.105,L,2,-0.09,
0.35,0.105,L,2,-0.15,
0.5,0.105,L,2,-0.125,
0.65,0.105,L,2,-0.08,
0.75,0.105,L,2,-0.04,
0.85,0.105,L,2,0.01,
0.95,0.105,L,2,0.055,
0.95,0.21,U,3,0.065,
0.85,0.21,U,3,-0.005,
0.75,0.21,U,3,-0.07,
0.65,0.21,U,3,-0.14,
0.5,0.21,U,3,-0.235,
0.35,0.21,U,3,-0.375,
0.225,0.21,U,3,-0.425,
0.15,0.21,U,3,-0.445,
0.08,0.21,U,3,-0.435,
0.03,0.21,U,3,-0.45,
0.01,0.21,U,3,-0.3,
0,0.21,U,3,0.31,
0.01,0.21,L,3,0.45,
0.03,0.21,L,3,0.27,
0.08,0.21,L,3,0.05,
0.15,0.21,L,3,-0.065,
0.225,0.21,L,3,-0.12,
0.35,0.21,L,3,-0.16,
0.5,0.21,L,3,-0.125,
0.65,0.21,L,3,-0.07,
0.75,0.21,L,3,-0.02,
0.85,0.21,L,3,0.015,
0.95,0.21,L,3,0.055,
0.7,0.87,U,4,-0.03,
0.5,0.87,U,4,-0.155,
0.35,0.87,U,4,-0.25,
0.25,0.87,U,4,-0.31,
0.15,0.87,U,4,-0.37,
0.1,0.87,U,4,-0.37,
0.05,0.87,U,4,-0.385,
0.025,0.87,U,4,-0.37,
0,0.87,U,4,-0.16,
0.025,0.87,L,4,0.075,
0.05,0.87,L,4,0.04,
0.1,0.87,L,4,-0.035,
0.15,0.87,L,4,-0.07,
0.25,0.87,L,4,-0.095,
0.35,0.87,L,4,-0.11,
0.5,0.87,L,4,-0.04,
0.7,0.87,L,4,0.02,
