case,cl,cd,cm
1,,,
2,0.088,0.0025,0.003
3,0.176,0.0062,0.006
4,0.258,0.0136,0.009
5,0.345,0.0239,0.012
6,0.428,0.0367,0.016
7,0.513,0.0523,0.017
8,0.605,0.0717,0.016
9,0.702,0.0963,0.006
10,0.751,0.112,-0.002
11,0.81,0.132,-0.014
12,0.885,0.156,-0.029
