,0.7,0.74,0.76,0.78,0.8
1,0.1205,0.1327,0.1369,0.1445,0.0976
0.9212,-0.0137,-0.0018,0.0016,0.0074,-0.0117
0.8791,-0.1019,-0.0908,-0.0403,-0.03,-0.1031
0.8353,-0.2064,-0.1998,-0.1967,-0.1783,-0.1824
0.7493,-0.406,-0.4182,-0.422,-0.364,-0.3696
0.6997,-0.4673,-0.485,-0.4903,-0.4193,-0.4489
0.6598,-0.5129,-0.5423,-0.548,-0.4383,-0.7624
0.6197,-0.5433,-0.5863,-0.5953,-0.5232,-1.0013
0.5795,-0.5668,-0.6096,-0.6076,-0.6834,-0.9622
0.5397,-0.5711,-0.6273,-0.5902,-0.8626,-0.9387
0.4996,-0.5774,-0.6181,-0.5599,-0.95,-0.9465
0.4598,-0.5896,-0.6267,-0.5245,-0.9822,-0.9475
0.4201,-0.5856,-0.6032,-0.5446,-0.9869,-0.9353
0.3795,-0.5982,-0.5792,-0.7868,-0.999,-0.9287
0.3402,-0.6085,-0.5617,-0.9826,-1.0168,-0.9317
0.2994,-0.6397,-0.6027,-1.037,-1.0072,-0.9327
0.25,-0.6626,-0.8888,-1.0189,-0.9784,-0.9055
0.1997,-0.6899,-1.0368,-1.0266,-0.9679,-0.8844
0.1,-0.993,-1.0608,-1.0178,-0.9313,-0.8342
0.08,-1.0759,-1.0937,-1.0045,-0.9173,-0.8093
0.0608,-1.1575,-1.002,-0.9898,-0.8947,-0.7707
0.04,-1.1358,-0.9976,-0.9297,-0.8272,-0.7027
0.03,-1.0912,-0.9297,-0.8547,-0.7649,-0.6386
0.0203,-1.0429,-0.8582,-0.7871,-0.6907,-0.5523
0.0097,-0.9121,-0.6975,-0.6162,-0.5042,-0.3218
0.0083,-0.5954,-0.4642,-0.4244,-0.3537,-0.2512
0,0.4899,0.6324,0.6766,0.7479,0.8429
0,0.4899,0.6324,0.6766,0.7479,0.8429
0.0052,0.9106,0.8849,0.8765,0.8599,0.8096
0.0098,0.7537,0.7415,0.7312,0.7164,0.6785
0.02,0.6007,0.5951,0.5889,0.576,0.5474
0.053,0.3824,0.3812,0.3774,0.3689,0.3412
0.0813,0.2612,0.2592,0.2591,0.2522,0.2287
0.1199,0.1702,0.1676,0.1708,0.1648,0.1438
0.1796,0.065,0.0624,0.061,0.0603,0.0411
0.2377,-0.0149,-0.017,-0.0197,-0.0191,-0.0468
0.2995,-0.0814,-0.0908,-0.0935,-0.0967,-0.1266
0.3588,-0.1403,-0.1595,-0.1606,-0.1752,-0.2092
0.4193,-0.1957,-0.2115,-0.2196,-0.2358,-0.2784
0.4793,-0.2176,-0.2371,-0.2474,-0.2674,-0.3233
0.5394,-0.1952,-0.2081,-0.2138,-0.2322,-0.2758
0.5994,-0.0841,-0.0884,-0.0865,-0.0941,-0.1207
0.6507,0.0715,0.0757,0.0816,0.0811,0.0708
0.7203,0.206,0.2177,0.221,0.2254,0.2173
0.7743,0.2778,0.291,0.2063,0.2998,0.2915
0.8394,0.3165,0.3314,0.3389,0.3428,0.3404
0.8996,0.3204,0.335,0.342,0.3487,0.3421
0.9492,0.2764,0.2955,0.3062,0.2986,0.2907
1,0.1205,0.1327,0.1369,0.1445,0.0976
