,0.4,0.6,0.7,0.74,0.76,0.78
1,0.1013,0.0708,0.1228,0.1048,0.0921,-0.0509
0.9212,-0.0369,-0.0317,-0.0309,-0.0436,-0.0533,-0.1983
0.8791,-0.1227,-0.1131,-0.1192,-0.1291,-0.1327,-0.2185
0.8353,-0.2161,-0.2105,-0.2199,-0.2176,-0.219,-0.3308
0.7493,-0.3675,-0.3833,-0.4006,-0.3574,-0.3392,-0.4862
0.6997,-0.4229,-0.453,-0.459,-0.3428,-0.3595,-0.5766
0.6598,-0.4501,-0.4938,-0.4861,-0.3919,-0.4089,-0.6453
0.6197,-0.4761,-0.5475,-0.5024,-0.4131,-0.5022,-0.6962
0.5795,-0.513,-0.5655,-0.5123,-0.4829,-0.6501,-0.7195
0.5397,-0.5252,-0.5843,-0.508,-0.6153,-0.7467,-0.9367
0.4996,-0.5377,-0.6008,-0.4857,-0.7704,-1.0942,-1.2059
0.4598,-0.5668,-0.6272,-0.5111,-1.1682,-1.4121,-1.2984
0.4201,-0.574,-0.6376,-0.5892,-1.4084,-1.4023,-1.2978
0.3795,-0.5974,-0.667,-0.7905,-1.4743,-1.3852,-1.2924
0.3402,-0.6287,-0.6886,-1.4339,-1.4683,-1.3959,-1.2831
0.2994,-0.6635,-0.7326,-1.646,-1.4006,-1.3834,-1.2801
0.25,-0.7157,-0.7833,-1.6647,-1.4633,-1.3768,-1.2597
0.1997,-0.7801,-0.8312,-1.6788,-1.4625,-1.3704,-1.2444
0.1,-1.0671,-1.0403,-1.7606,-1.4899,-1.3859,-1.2401
0.08,-1.1568,-2.1904,-1.75,-1.4696,-1.3733,-1.2253
0.0608,-1.299,-2.3328,-1.7817,-1.4922,-1.3771,-1.2152
0.04,-1.5709,-2.4834,-1.7754,-1.4981,-1.3715,-1.207
0.03,-1.7475,-2.5092,-1.78,-1.456,-1.3023,-1.1382
0.0203,-1.9231,-2.5133,-1.7617,-1.4404,-1.3144,-1.1127
0.0097,-2.7079,-2.5042,-1.6828,-1.3404,-1.2475,-1.043
0.0083,,-1.5838,-1.0583,-0.8481,-0.7992,-0.6673
0,-2.4259,-0.9001,-0.2455,0.0643,0.1499,0.3233
0,-2.4259,-0.9001,-0.2455,0.0643,0.1499,0.3233
0.0052,1.0096,1.0786,1.1276,1.1101,1.1004,1.0777
0.0098,0.9941,0.999,1.0234,0.9948,0.9733,0.9453
0.02,0.8648,0.8634,0.8762,0.8393,0.8165,0.7967
0.05,0.6314,0.6279,0.639,0.6045,0.5865,0.5691
0.0813,0.4871,0.4871,0.4967,0.468,0.4515,0.4321
0.1199,0.3752,0.3784,0.3896,0.3598,0.3419,0.3277
0.1796,0.2572,0.2581,0.2637,0.2338,0.2181,0.2046
0.2397,0.1701,0.1657,0.1668,0.1385,0.118,0.1081
0.2995,0.1007,0.0896,0.087,0.0545,0.0336,0.0149
0.3588,0.036,0.0151,0.0093,-0.0277,-0.0512,-0.0751
0.4193,-0.0113,-0.0515,-0.0516,-0.0965,-0.1212,-0.1537
0.4793,-0.0471,-0.0741,-0.0947,-0.1421,-0.1724,-0.208
0.5394,-0.0414,-0.0711,-0.0878,-0.1331,-0.1674,-0.2048
0.5994,0.0138,-0.0027,-0.0017,-0.0402,-0.0661,-0.0888
0.6507,0.1141,0.117,0.128,0.1071,0.0915,0.0709
0.7203,0.2151,0.2268,0.2518,0.2354,0.2247,0.2083
0.7743,0.2664,0.2855,0.3169,0.3031,0.2979,0.2849
0.8394,0.288,0.307,0.3508,0.3376,0.3288,0.3108
0.8996,0.2839,0.2983,0.3406,0.3339,0.3272,0.3097
0.9492,0.232,0.2452,0.2985,0.2914,0.2828,0.2534
1,0.1013,0.0708,0.1228,0.1048,0.0921,-0.0509
