,0.4,0.6,0.7,0.74,0.76
1,0.0659,0.0737,0.0807,0.0502,0.0141
0.9212,-0.0442,-0.0431,-0.0545,-0.0818,-0.091
0.8791,-0.121,-0.1198,-0.1337,-0.1552,-0.1531
0.8353,-0.2183,-0.2149,-0.2245,-0.2416,-0.2289
0.7493,-0.3663,-0.4061,-0.3681,-0.3486,-0.3704
0.6997,-0.4295,-0.4524,-0.4186,-0.3727,-0.4644
0.6598,-0.4733,-0.5017,-0.4442,-0.4028,-0.5635
0.6197,-0.5027,-0.5302,-0.4458,-0.4632,-0.6763
0.5795,-0.528,-0.5778,-0.467,-0.586,-0.7047
0.5397,-0.5533,-0.5976,-0.4452,-0.7128,-0.8467
0.4996,-0.559,-0.6158,-0.5504,-0.8609,-1.0755
0.4598,-0.5905,-0.647,-0.7193,-1.052,-1.4688
0.4201,-0.6123,-0.6607,-0.8917,-1.5099,-1.4563
0.3795,-0.6356,-0.6869,-1.1593,-1.5462,-1.4372
0.3402,-0.6646,-0.7146,-1.5855,-1.5461,-1.4392
0.2994,-0.715,-0.7563,-1.7609,-1.5446,-1.4308
0.25,-0.7739,-0.7886,-1.7688,-1.544,-1.4289
0.1997,-0.8586,-0.8178,-1.7615,-1.5426,-1.4208
0.1,-1.1878,-2.1295,-1.8212,-1.5853,-1.4405
0.08,-1.3038,-2.5428,-1.8676,-1.5757,-1.4204
0.0608,-1.495,-2.6455,-1.8739,-1.5927,-1.4325
0.04,-1.8205,-2.7315,-1.868,-1.5744,-1.4265
0.03,-2.0327,-2.7563,-1.8818,-1.5632,-1.3921
0.0203,-2.2605,-2.7946,-1.8588,-1.5331,-1.3781
0.0097,-3.2599,-2.7432,-1.8123,-1.4664,-1.3102
0.0083,,-1.681,-1.1501,-0.9277,-0.8463
0,-3.4243,-1.2151,-0.4439,-0.0951,0.0523
0,-3.4243,-1.2151,-0.4439,-0.0951,0.0523
0.0052,0.971,1.078,1.1502,1.1398,1.1313
0.0098,1.0087,1.0391,1.0564,1.0316,1.0174
0.02,0.9306,0.9153,0.9225,0.8885,0.8651
0.05,0.7054,0.6868,0.6847,0.6511,0.633
0.0813,0.555,0.5446,0.5409,0.512,0.493
0.1199,0.4416,0.4341,0.4317,0.3998,0.383
0.1796,0.3204,0.3072,0.2983,0.271,0.2535
0.2397,0.2302,0.2092,0.2021,0.1656,0.1493
0.2999,0.1505,0.1327,0.1144,0.0803,0.0588
0.3558,0.0853,0.0574,0.0357,-0.0074,-0.0289
0.4193,0.0316,-0.0043,-0.0334,-0.0796,-0.1086
0.4793,-0.0022,-0.041,-0.0643,-0.1321,-0.1679
0.5394,-0.0082,-0.0449,-0.0832,-0.1319,-0.1632
0.5994,0.0394,0.0173,-0.0037,-0.0442,-0.0745
0.6507,0.1396,0.1262,0.1274,0.1009,0.0861
0.7203,0.2325,0.2316,0.2488,0.2266,0.2185
0.7743,0.2775,0.288,0.3115,0.2972,0.2848
0.8394,0.3008,0.3125,0.3378,0.3269,0.3183
0.8996,0.2845,0.3011,0.3281,0.3192,0.3067
0.9492,0.2462,0.241,0.2797,0.2614,0.2559
1,0.0659,0.0737,0.0807,0.0502,0.0141
