1.0,0.121756,-
0.98,0.077832,-
0.96,0.0369374,-
0.94,-0.000197992,-
0.92,-0.0296679,-
0.9,-0.0618054,-
0.88,-0.100218,-
0.84,-0.164045,-
0.8,-0.222082,-
0.76,-0.296498,-
0.72,-0.366607,-
0.68,-0.434775,-
0.64,-0.518438,-
0.6,-0.584747,-
0.58,-0.630299,-
0.56,-0.669174,-
0.54,-0.708904,-
0.52,-0.721744,-
0.5,-0.736891,-
0.48,-0.716425,-
0.46,-0.741802,-
0.44,-0.743259,-
0.42,-0.740894,-
0.4,-0.735992,-
0.38,-0.728586,-
0.34,-0.706802,-
0.3,-0.691976,-
0.26,-0.665998,-
0.22,-0.625812,-
0.19,-0.606134,-
0.16,-0.584622,-
0.13,-0.550655,-
0.1,-0.505382,-
0.08,-0.470826,-
0.06,-0.433571,-
0.05,-0.431246,-
0.045,-0.390333,-
0.04,-0.390986,-
0.035,-0.38842,-
0.03,-0.362016,-
0.025,-0.325369,-
0.02,-0.278698,-
0.015,-0.219015,-
0.01,-0.0794201,-
0.005,0.252694,-
0.0,1.09821,-
0.01,0.550046,-
0.02,0.291254,-
0.03,0.160542,-
0.04,0.0926251,-
0.05,0.0342724,-
0.06,-0.00928046,-
0.08,-0.0987137,-
0.1,-0.158388,-
0.15,-0.257643,-
0.2,-0.3206,-
0.25,-0.39004,-
0.3,-0.459597,-
0.35,-0.520361,-
0.4,-0.521046,-
0.45,-0.423726,-
0.5,-0.301271,-
0.55,-0.17983,-
0.6,-0.0698855,-
0.65,0.00968467,-
0.7,0.0920785,-
0.75,0.160198,-
0.81,0.246817,-
0.87,0.28622,-
0.9,0.291546,-
0.92,0.292936,-
0.94,0.286531,-
0.96,0.266386,-
0.98,,-
