1.0,0.092948,-
0.98,0.0537375,-
0.96,0.0184676,-
0.94,-0.0117402,-
0.92,-0.0341113,-
0.9,-0.0585126,-
0.88,-0.0854839,-
0.84,-0.131212,-
0.8,-0.166453,-
0.76,-0.217492,-
0.72,-0.259325,-
0.68,-0.29365,-
0.64,-0.338676,-
0.6,-0.358527,-
0.58,-0.374179,-
0.56,-0.383323,-
0.54,-0.392154,-
0.52,-0.385162,-
0.5,-0.382678,-
0.48,-0.354413,-
0.46,-0.371419,-
0.44,-0.369861,-
0.42,-0.361882,-
0.4,-0.354075,-
0.38,-0.347366,-
0.34,-0.327669,-
0.3,-0.306517,-
0.26,-0.280788,-
0.22,-0.247359,-
0.19,-0.223783,-
0.16,-0.191672,-
0.13,-0.147811,-
0.1,-0.0896984,-
0.08,-0.041256,-
0.06,0.0197072,-
0.05,0.0464435,-
0.045,0.0907323,-
0.04,0.107942,-
0.035,0.128605,-
0.03,0.174867,-
0.025,0.230661,-
0.02,0.299608,-
0.015,0.396238,-
0.01,0.54162,-
0.005,0.846922,-
0.0,1.04819,-
0.01,-0.262711,-
0.02,-0.457487,-
0.03,-0.4877,-
0.04,-0.498302,-
0.05,-0.50758,-
0.06,-0.510469,-
0.08,-0.540626,-
0.1,-0.554991,-
0.15,-0.566499,-
0.2,-0.56651,-
0.25,-0.585741,-
0.3,-0.604356,-
0.35,-0.618551,-
0.4,-0.590152,-
0.45,-0.500379,-
0.5,-0.385795,-
0.55,-0.265904,-
0.6,-0.155258,-
0.65,-0.0719385,-
0.7,0.0134244,-
0.75,0.08464,-
0.81,0.174578,-
0.87,0.219555,-
0.9,0.228556,-
0.92,0.232115,-
0.94,0.230111,-
0.96,0.216144,-
0.98,,-
