,0.6,
1,0.194213668,
0.986,0.203550175,
0.946,0.18081151,
0.905,0.14216558,
0.825,0.016436443,
0.761,-0.145703961,
0.727,-0.186937394,
0.617,-0.267277411,
0.5,-0.502224819,
0.383,-0.629178768,
0.273,-0.473839696,
0.175,-0.352302377,
0.096,-0.266286188,
0.038,-0.112693692,
0.0188,0.024048281,
0.0062,,
0.0016,,
0,,
0.0016,,
0.0062,0.000302922,
0.0188,-0.2395,
0.038,-0.235025097,
0.096,-0.380955709,
0.175,-0.388609099,
0.273,-0.404408551,
0.383,-0.394146748,
0.5,-0.392206121,
0.617,-0.230320546,
0.727,0.021405626,
0.761,0.088739518,
0.825,0.13047281,
0.905,0.195679853,
0.946,0.230503335,
0.986,0.206098474,
