,1.20E-01
0.986,0.105882353
0.936,0.02745098
0.881,-0.040522876
0.825,-0.08496732
0.75,-0.134640523
0.625,-0.194771242
0.45,-0.296732026
0.25,-0.450980392
0.1,-0.589542484
0.05,-0.356862745
0.024,-0.003921569
0,0.735947712
0.024,-0.411764706
0.05,-0.262745098
0.1,-0.192156863
0.25,-0.281045752
0.45,-0.210457516
0.625,-0.132026144
0.75,-0.092810458
0.825,-0.040522876
0.881,0.009150327
0.936,0.02745098
0.986,0.108496732
