,0.320,0.420,0.530,0.550
0.000,-0.770,-0.750,0.850,0.860
0.006,-0.750,-0.740,0.840,0.840
0.016,-0.760,-0.740,0.840,0.840
0.027,-0.750,-0.740,0.840,0.840
0.051,-0.750,-0.740,0.840,0.840
0.080,-0.740,-0.740,0.840,0.840
0.106,-0.760,-0.740,0.840,0.840
0.154,-0.750,-0.740,0.840,0.840
0.199,-0.750,-0.750,0.850,0.850
0.255,-0.770,-0.760,0.860,0.860
0.304,-0.770,-0.760,0.860,0.860
0.351,-0.770,-0.760,0.860,0.860
0.399,-0.780,-0.760,0.870,0.870
0.448,-0.780,-0.780,0.880,0.880
0.502,-0.790,-0.780,0.880,0.880
0.551,-0.790,-0.780,0.880,0.880
0.600,-0.790,-0.780,0.890,0.880
0.655,-0.790,-0.780,0.900,0.880
0.758,-0.810,-0.780,0.900,0.890
0.804,-0.800,-0.780,0.900,0.879
0.904,-0.790,-0.770,0.880,0.870
0.955,-0.770,-0.760,0.870,0.860
1.000,-0.770,-0.750,0.860,0.876
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
