,0.6,0.7,0.74,0.76,0.78,0.8
1,0.1178,0.115,0.1363,0.1448,0.1311,0.0495
0.9212,-0.0266,-0.0142,-0.0055,0.0018,0.0048,-0.095
0.8791,-0.115,-0.0997,-0.0958,-0.0862,-0.0762,-0.1315
0.8353,-0.2145,-0.2026,-0.2082,-0.1938,-0.1658,-0.2255
0.7493,-0.3837,-0.4073,-0.4268,-0.396,-0.3431,-0.3881
0.6997,-0.4397,-0.473,-0.4929,-0.4571,-0.3876,-0.4492
0.6598,-0.4707,-0.5155,-0.5427,-0.4864,-0.4748,-0.5645
0.6197,-0.4989,-0.5625,-0.5811,-0.5003,-0.7197,-0.9945
0.5795,-0.5155,-0.5743,-0.604,-0.4761,-0.9809,-1.0227
0.5397,-0.5239,-0.5952,-0.6043,-0.4836,-1.0537,-1.0276
0.4996,-0.5285,-0.5936,-0.5937,-0.6181,-1.0618,-1.0257
0.4598,-0.5452,-0.6147,-0.5623,-0.9458,-1.055,-1.0129
0.4201,-0.5449,-0.6055,-0.5214,-1.0689,-1.0539,-0.9906
0.3795,-0.5541,-0.6212,-0.5146,-1.1125,-1.0692,-1.0084
0.3402,-0.571,-0.6385,-0.6261,-1.1161,-1.0506,-0.9948
0.2994,-0.5988,-0.6626,-0.985,,-1.0421,-0.9825
0.25,-0.6248,-0.6727,-1.1447,-1.086,-1.0279,-0.9697
0.1997,-0.6668,-0.6205,-1.1489,-1.09,-1.0065,-0.9362
0.1,-0.8391,-1.2546,-1.1717,-1.0823,-0.9853,-0.8935
0.08,-0.8671,-1.2765,-1.1566,-1.0682,-0.9595,-0.8752
0.0608,-0.97,-1.2768,-1.145,-1.0365,-0.9438,-0.8535
0.04,-1.1576,-1.2424,-1.087,-0.9928,-0.8572,-0.7922
0.03,-1.2323,-1.216,-1.0471,-0.9424,-0.7956,-0.7036
0.0203,-1.303,-1.1863,-0.9854,-0.875,-0.7402,-0.6257
0.0097,-1.4134,-1.0893,-0.8748,-0.7321,-0.5766,-0.4517
0.0083,-0.9621,-0.6829,-0.5682,-0.4933,-0.3782,-0.3185
0,0.0245,0.3648,0.4959,0.601,0.7082,0.7741
0,0.0245,0.3648,0.4959,0.601,0.7082,0.7741
0.0052,0.9472,0.9705,0.9544,0.9336,0.9023,0.8767
0.0098,0.8013,0.82,0.8023,0.7892,0.7648,0.731
0.02,0.6397,0.6633,0.653,0.6423,0.6166,0.5937
0.05,0.4176,0.4384,0.4319,0.4258,0.4068,0.3933
0.0813,0.291,0.3088,0.3053,0.3019,0.2894,0.2726
0.1199,0.2018,0.2138,0.2139,0.2094,0.1979,0.1816
0.1796,0.1,0.1045,0.1018,0.0991,0.0901,0.0742
0.2397,0.0239,0.0213,0.0185,0.0123,0.0036,-0.015
0.2999,-0.0394,-0.0515,-0.057,-0.0628,-0.0789,-0.0963
0.3558,-0.0972,-0.1187,-0.1272,-0.14,-0.1582,-0.1843
0.4193,-0.1376,-0.1692,-0.1825,-0.1967,-0.2263,-0.2593
0.4793,-0.1647,-0.1972,-0.2107,-0.2269,-0.263,-0.2986
0.5394,-0.146,-0.1737,-0.1856,-0.1947,-0.2282,-0.2579
0.5994,-0.0612,-0.0654,-0.0699,-0.0766,-0.0908,-0.1147
0.6507,0.0683,0.0822,0.091,0.0915,0.0823,0.0728
0.7203,0.188,0.2132,0.2245,0.2315,0.2231,0.2178
0.7743,0.254,0.2852,0.2972,0.3052,0.2999,0.2942
0.8394,0.287,0.3238,0.3394,0.3479,0.3416,0.3335
0.8996,0.2884,0.3223,0.3404,0.3518,0.3464,0.3353
0.9492,0.2442,0.2841,0.301,0.314,0.3066,0.2898
1,0.1178,0.115,0.136,0.1448,0.1311,0.0495
