xc,yb,section,surf,cp,std
1,0.6,1,U,0.163,0.003
0.95,0.6,1,U,0.008,0.004
0.85,0.6,1,U,-0.082,0.004
0.8,0.6,1,U,0.021,0.008
0.75,0.6,1,U,-0.028,0.006
0.7,0.6,1,U,-0.185,0.004
0.65,0.6,1,U,-0.072,0.004
0.6,0.6,1,U,-0.09,0.003
0.55,0.6,1,U,-0.269,0.004
0.5,0.6,1,U,-0.174,0.003
0.45,0.6,1,U,-0.213,0.003
0.4,0.6,1,U,-0.258,0.003
0.35,0.6,1,U,-0.281,0.003
0.3,0.6,1,U,-0.43,0.004
0.25,0.6,1,U,-0.371,0.004
0.2,0.6,1,U,-0.525,0.004
0.15,0.6,1,U,-0.455,0.004
0.1,0.6,1,U,-0.485,0.006
0.075,0.6,1,U,-0.642,0.008
0.05,0.6,1,U,-0.594,0.009
0.04,0.6,1,U,-0.489,0.01
0.03,0.6,1,U,-0.461,0.012
0.02,0.6,1,U,-0.402,0.015
0.01,0.6,1,U,-0.341,0.018
0,0.6,1,U,1.034,0.007
0.01,0.6,1,L,0.418,0.012
0.02,0.6,1,L,0.129,0.012
0.05,0.6,1,L,-0.135,0.008
0.1,0.6,1,L,-0.301,0.006
0.2,0.6,1,L,-0.335,0.004
0.3,0.6,1,L,-0.164,0.004
0.4,0.6,1,L,-0.136,0.003
0.5,0.6,1,L,-0.243,0.004
0.6,0.6,1,L,-0.17,0.003
0.7,0.6,1,L,-0.127,0.004
0.8,0.6,1,L,0.058,0.003
1,0.95,2,U,0.147,0.004
0.95,0.95,2,U,-0.002,0.003
0.9,0.95,2,U,0.004,0.003
0.85,0.95,2,U,0.079,0.003
0.8,0.95,2,U,0.039,0.003
0.75,0.95,2,U,-0.07,0.003
0.7,0.95,2,U,0.026,0.003
0.65,0.95,2,U,-0.135,0.003
0.6,0.95,2,U,-0.034,0.003
0.55,0.95,2,U,-0.173,0.003
0.5,0.95,2,U,-0.19,0.003
0.45,0.95,2,U,-0.117,0.003
0.4,0.95,2,U,-0.278,0.003
0.35,0.95,2,U,-0.331,0.003
0.25,0.95,2,U,-0.393,0.003
0.2,0.95,2,U,-0.284,0.004
0.15,0.95,2,U,-0.318,0.005
0.1,0.95,2,U,-0.36,0.005
0.075,0.95,2,U,-0.363,0.006
0.05,0.95,2,U,-0.347,0.008
0.04,0.95,2,U,-0.499,0.009
0.03,0.95,2,U,-0.461,0.01
0.02,0.95,2,U,-0.415,0.012
0.01,0.95,2,U,-0.097,0.015
0,0.95,2,U,1.055,0.005
0.01,0.95,2,L,0.312,0.012
0.02,0.95,2,L,0.186,0.011
0.03,0.95,2,L,0.041,0.01
0.05,0.95,2,L,-0.166,0.007
0.1,0.95,2,L,-0.315,0.005
0.2,0.95,2,L,-0.143,0.004
0.3,0.95,2,L,-0.3,0.003
0.4,0.95,2,L,-0.227,0.003
0.5,0.95,2,L,-0.229,0.003
0.6,0.95,2,L,-0.028,0.003
0.7,0.95,2,L,-0.01,0.003
0.8,0.95,2,L,0.017,0.003
0.9,0.95,2,L,0.086,0.003
0.95,0.95,2,L,0.061,0.003
