xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,,
0.6,0.6,1,L,-0.126,0.008,,,,,,,,,,,,,,,,,
0.7,0.6,1,L,-0.04,0.007,,,,,,,,,,,,,,,,,
0.8,0.6,1,L,-0.097,0.007,,,,,,,,,,,,,,,,,
1,0.95,2,U,0.018,0.005,,,,,,,,,,,,,,,,,
0.95,0.95,2,U,0.257,0.007,,,,,,,,,,,,,,,,,
0.9,0.95,2,U,0.105,0.006,,,,,,,,,,,,,,,,,
0.85,0.95,2,U,-0.036,0.006,,,,,,,,,,,,,,,,,
0.8,0.95,2,U,-0.058,0.007,,,,,,,,,,,,,,,,,
0.75,0.95,2,U,-0.008,0.006,,,,,,,,,,,,,,,,,
0.7,0.95,2,U,-0.145,0.007,,,,,,,,,,,,,,,,,
0.65,0.95,2,U,-0.043,0.007,,,,,,,,,,,,,,,,,
0.6,0.95,2,U,-0.18,0.007,,,,,,,,,,,,,,,,,
0.55,0.95,2,U,-0.107,0.007,,,,,,,,,,,,,,,,,
0.5,0.95,2,U,-0.143,0.007,,,,,,,,,,,,,,,,,
0.45,0.95,2,U,-0.259,0.007,,,,,,,,,,,,,,,,,
0.4,0.95,2,U,-0.186,0.008,,,,,,,,,,,,,,,,,
0.35,0.95,2,U,-0.205,0.008,,,,,,,,,,,,,,,,,
0.25,0.95,2,U,-0.289,0.008,,,,,,,,,,,,,,,,,
0.2,0.95,2,U,-0.443,0.009,,,,,,,,,,,,,,,,,
0.15,0.95,2,U,-0.489,0.009,,,,,,,,,,,,,,,,,
0.1,0.95,2,U,-0.487,0.01,,,,,,,,,,,,,,,,,
0.075,0.95,2,U,-0.514,0.011,,,,,,,,,,,,,,,,,
0.05,0.95,2,U,-0.33,0.009,,,,,,,,,,,,,,,,,
0.04,0.95,2,U,-0.215,0.01,,,,,,,,,,,,,,,,,
0.03,0.95,2,U,-0.144,0.01,,,,,,,,,,,,,,,,,
0.02,0.95,2,U,-0.019,0.011,,,,,,,,,,,,,,,,,
0.01,0.95,2,U,0.18,0.011,,,,,,,,,,,,,,,,,
0,0.95,2,U,1.091,0.005,,,,,,,,,,,,,,,,,
0.01,0.95,2,L,0.294,0.011,,,,,,,,,,,,,,,,,
0.02,0.95,2,L,-0.117,0.011,,,,,,,,,,,,,,,,,
0.03,0.95,2,L,-0.22,0.011,,,,,,,,,,,,,,,,,
0.05,0.95,2,L,-0.248,0.009,,,,,,,,,,,,,,,,,
0.1,0.95,2,L,-0.344,0.009,,,,,,,,,,,,,,,,,
0.2,0.95,2,L,-0.468,0.009,,,,,,,,,,,,,,,,,
0.3,0.95,2,L,-0.245,0.008,,,,,,,,,,,,,,,,,
0.4,0.95,2,L,-0.188,0.008,,,,,,,,,,,,,,,,,
0.5,0.95,2,L,-0.097,0.008,,,,,,,,,,,,,,,,,
0.6,0.95,2,L,-0.174,0.007,,,,,,,,,,,,,,,,,
0.7,0.95,2,L,-0.115,0.007,,,,,,,,,,,,,,,,,
0.8,0.95,2,L,-0.068,0.007,,,,,,,,,,,,,,,,,
0.9,0.95,2,L,0.02,0.007,,,,,,,,,,,,,,,,,
0.95,0.95,2,L,0.14,0.006,,,,,,,,,,,,,,,,,
