xc,yb,section,surf,cp,std
1,0.6,1,U,0.165,0.003
0.95,0.6,1,U,0.008,0.004
0.85,0.6,1,U,-0.075,0.004
0.8,0.6,1,U,0.028,0.007
0.75,0.6,1,U,-0.017,0.006
0.7,0.6,1,U,-0.167,0.003
0.65,0.6,1,U,-0.052,0.003
0.6,0.6,1,U,-0.067,0.003
0.55,0.6,1,U,-0.237,0.003
0.5,0.6,1,U,-0.138,0.003
0.45,0.6,1,U,-0.172,0.003
0.4,0.6,1,U,-0.209,0.003
0.35,0.6,1,U,-0.222,0.003
0.3,0.6,1,U,-0.357,0.003
0.25,0.6,1,U,-0.288,0.003
0.2,0.6,1,U,-0.419,0.004
0.15,0.6,1,U,-0.325,0.005
0.1,0.6,1,U,-0.317,0.006
0.075,0.6,1,U,-0.441,0.007
0.05,0.6,1,U,-0.357,0.009
0.04,0.6,1,U,-0.223,0.01
0.03,0.6,1,U,-0.161,0.011
0.02,0.6,1,U,-0.056,0.013
0.01,0.6,1,U,0.061,0.015
0,0.6,1,U,1.098,0.003
0.01,0.6,1,L,0.097,0.015
0.02,0.6,1,L,-0.179,0.013
0.05,0.6,1,L,-0.347,0.008
0.1,0.6,1,L,-0.46,0.006
0.2,0.6,1,L,-0.435,0.005
0.3,0.6,1,L,-0.238,0.004
0.4,0.6,1,L,-0.189,0.003
0.5,0.6,1,L,-0.279,0.003
0.6,0.6,1,L,-0.194,0.003
0.7,0.6,1,L,-0.143,0.003
0.8,0.6,1,L,0.048,0.003
1,0.95,2,U,0.142,0.004
0.95,0.95,2,U,0.005,0.003
0.9,0.95,2,U,0.008,0.003
0.85,0.95,2,U,0.079,0.003
0.8,0.95,2,U,0.038,0.003
0.75,0.95,2,U,-0.068,0.003
0.7,0.95,2,U,0.026,0.003
0.65,0.95,2,U,-0.131,0.003
0.6,0.95,2,U,-0.031,0.003
0.55,0.95,2,U,-0.165,0.003
0.5,0.95,2,U,-0.179,0.003
0.45,0.95,2,U,-0.105,0.003
0.4,0.95,2,U,-0.257,0.003
0.35,0.95,2,U,-0.304,0.003
0.25,0.95,2,U,-0.351,0.003
0.2,0.95,2,U,-0.232,0.004
0.15,0.95,2,U,-0.25,0.004
0.1,0.95,2,U,-0.263,0.005
0.075,0.95,2,U,-0.241,0.006
0.05,0.95,2,U,-0.197,0.007
0.04,0.95,2,U,-0.325,0.008
0.03,0.95,2,U,-0.262,0.01
0.02,0.95,2,U,-0.18,0.012
0.01,0.95,2,U,0.174,0.014
0,0.95,2,U,1.094,0.003
0.01,0.95,2,L,0.081,0.013
0.02,0.95,2,L,-0.029,0.012
0.03,0.95,2,L,-0.147,0.01
0.05,0.95,2,L,-0.309,0.008
0.1,0.95,2,L,-0.408,0.005
0.2,0.95,2,L,-0.196,0.003
0.3,0.95,2,L,-0.328,0.003
0.4,0.95,2,L,-0.243,0.003
0.5,0.95,2,L,-0.235,0.003
0.6,0.95,2,L,-0.03,0.003
0.7,0.95,2,L,-0.005,0.003
0.8,0.95,2,L,0.027,0.003
0.9,0.95,2,L,0.099,0.003
0.95,0.95,2,L,0.076,0.003
