xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,,,,,
0.03,0.95,2,U,-0.365,0.011,,,,,,,,,,,,,,,,,,,,
0.02,0.95,2,U,-0.266,0.012,,,,,,,,,,,,,,,,,,,,
0.01,0.95,2,U,-0.072,0.012,,,,,,,,,,,,,,,,,,,,
0,0.95,2,U,1.065,0.005,,,,,,,,,,,,,,,,,,,,
0.01,0.95,2,L,0.51,0.01,,,,,,,,,,,,,,,,,,,,
0.02,0.95,2,L,0.103,0.01,,,,,,,,,,,,,,,,,,,,
0.03,0.95,2,L,0.005,0.01,,,,,,,,,,,,,,,,,,,,
0.05,0.95,2,L,-0.081,0.009,,,,,,,,,,,,,,,,,,,,
0.1,0.95,2,L,-0.226,0.008,,,,,,,,,,,,,,,,,,,,
0.2,0.95,2,L,-0.404,0.008,,,,,,,,,,,,,,,,,,,,
0.3,0.95,2,L,-0.212,0.008,,,,,,,,,,,,,,,,,,,,
0.4,0.95,2,L,-0.171,0.008,,,,,,,,,,,,,,,,,,,,
0.5,0.95,2,L,-0.093,0.008,,,,,,,,,,,,,,,,,,,,
0.6,0.95,2,L,-0.178,0.007,,,,,,,,,,,,,,,,,,,,
0.7,0.95,2,L,-0.125,0.007,,,,,,,,,,,,,,,,,,,,
0.8,0.95,2,L,-0.084,0.007,,,,,,,,,,,,,,,,,,,,
0.9,0.95,2,L,-0.001,0.006,,,,,,,,,,,,,,,,,,,,
0.95,0.95,2,L,0.123,0.006,,,,,,,,,,,,,,,,,,,,
