xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,,,,
0.9,0.95,2,U,0.096,0.005,,,,,,,,,,,,,,,,,,,
0.85,0.95,2,U,-0.026,0.005,,,,,,,,,,,,,,,,,,,
0.8,0.95,2,U,-0.047,0.005,,,,,,,,,,,,,,,,,,,
0.75,0.95,2,U,-0.006,0.005,,,,,,,,,,,,,,,,,,,
0.7,0.95,2,U,-0.126,0.005,,,,,,,,,,,,,,,,,,,
0.65,0.95,2,U,-0.04,0.005,,,,,,,,,,,,,,,,,,,
0.6,0.95,2,U,-0.16,0.005,,,,,,,,,,,,,,,,,,,
0.55,0.95,2,U,-0.1,0.005,,,,,,,,,,,,,,,,,,,
0.5,0.95,2,U,-0.133,0.005,,,,,,,,,,,,,,,,,,,
0.45,0.95,2,U,-0.235,0.005,,,,,,,,,,,,,,,,,,,
0.4,0.95,2,U,-0.176,0.005,,,,,,,,,,,,,,,,,,,
0.35,0.95,2,U,-0.197,0.006,,,,,,,,,,,,,,,,,,,
0.25,0.95,2,U,-0.279,0.005,,,,,,,,,,,,,,,,,,,
0.2,0.95,2,U,-0.421,0.006,,,,,,,,,,,,,,,,,,,
0.15,0.95,2,U,-0.471,0.006,,,,,,,,,,,,,,,,,,,
0.1,0.95,2,U,-0.489,0.007,,,,,,,,,,,,,,,,,,,
0.075,0.95,2,U,-0.515,0.008,,,,,,,,,,,,,,,,,,,
0.05,0.95,2,U,-0.412,0.008,,,,,,,,,,,,,,,,,,,
0.04,0.95,2,U,-0.323,0.009,,,,,,,,,,,,,,,,,,,
0.03,0.95,2,U,-0.273,0.01,,,,,,,,,,,,,,,,,,,
0.02,0.95,2,U,-0.181,0.011,,,,,,,,,,,,,,,,,,,
0.01,0.95,2,U,0.007,0.012,,,,,,,,,,,,,,,,,,,
0,0.95,2,U,1.054,0.005,,,,,,,,,,,,,,,,,,,
0.01,0.95,2,L,0.364,0.011,,,,,,,,,,,,,,,,,,,
0.02,0.95,2,L,-0.018,0.011,,,,,,,,,,,,,,,,,,,
0.03,0.95,2,L,-0.094,0.01,,,,,,,,,,,,,,,,,,,
0.05,0.95,2,L,-0.161,0.008,,,,,,,,,,,,,,,,,,,
0.1,0.95,2,L,-0.256,0.006,,,,,,,,,,,,,,,,,,,
0.2,0.95,2,L,-0.379,0.006,,,,,,,,,,,,,,,,,,,
0.3,0.95,2,L,-0.202,0.005,,,,,,,,,,,,,,,,,,,
0.4,0.95,2,L,-0.159,0.005,,,,,,,,,,,,,,,,,,,
0.5,0.95,2,L,-0.085,0.006,,,,,,,,,,,,,,,,,,,
0.6,0.95,2,L,-0.154,0.005,,,,,,,,,,,,,,,,,,,
0.7,0.95,2,L,-0.105,0.005,,,,,,,,,,,,,,,,,,,
0.8,0.95,2,L,-0.068,0.005,,,,,,,,,,,,,,,,,,,
0.9,0.95,2,L,0.014,0.005,,,,,,,,,,,,,,,,,,,
0.95,0.95,2,L,0.123,0.004,,,,,,,,,,,,,,,,,,,
