xc,yb,section,surf,cp,std
1,0.6,1,U,0.229,0.004
0.95,0.6,1,U,0.183,0.004
0.85,0.6,1,U,0.07,0.004
0.8,0.6,1,U,-0.059,0.004
0.75,0.6,1,U,-0.092,0.004
0.7,0.6,1,U,-0.068,0.004
0.65,0.6,1,U,-0.175,0.004
0.6,0.6,1,U,-0.221,0.004
0.55,0.6,1,U,-0.172,0.004
0.5,0.6,1,U,-0.293,0.004
0.45,0.6,1,U,-0.326,0.004
0.4,0.6,1,U,-0.36,0.004
0.35,0.6,1,U,-0.41,0.005
0.3,0.6,1,U,-0.397,0.004
0.25,0.6,1,U,-0.507,0.005
0.2,0.6,1,U,-0.498,0.005
0.15,0.6,1,U,-0.602,0.006
0.1,0.6,1,U,-0.641,0.006
0.075,0.6,1,U,-0.61,0.009
0.05,0.6,1,U,-0.473,0.009
0.04,0.6,1,U,-0.597,0.01
0.03,0.6,1,U,-0.59,0.012
0.02,0.6,1,U,-0.531,0.013
0.01,0.6,1,U,-0.206,0.015
0,0.6,1,U,0.99,0.006
0.01,0.6,1,L,0.513,0.01
0.02,0.6,1,L,0.235,0.01
0.05,0.6,1,L,0.018,0.008
0.1,0.6,1,L,-0.189,0.006
0.2,0.6,1,L,-0.262,0.005
0.3,0.6,1,L,-0.329,0.005
0.4,0.6,1,L,-0.257,0.004
0.5,0.6,1,L,-0.139,0.004
0.6,0.6,1,L,-0.093,0.004
0.7,0.6,1,L,-0.031,0.004
0.8,0.6,1,L,-0.067,0.004
1,0.95,2,U,0.033,0.004
0.95,0.95,2,U,0.18,0.004
0.9,0.95,2,U,0.08,0.004
0.85,0.95,2,U,-0.018,0.004
0.8,0.95,2,U,-0.04,0.004
0.75,0.95,2,U,-0.012,0.004
0.7,0.95,2,U,-0.11,0.004
0.65,0.95,2,U,-0.048,0.004
0.6,0.95,2,U,-0.144,0.004
0.55,0.95,2,U,-0.105,0.004
0.5,0.95,2,U,-0.135,0.004
0.45,0.95,2,U,-0.22,0.004
0.4,0.95,2,U,-0.184,0.004
0.35,0.95,2,U,-0.208,0.004
0.25,0.95,2,U,-0.292,0.004
0.2,0.95,2,U,-0.413,0.005
0.15,0.95,2,U,-0.467,0.005
0.1,0.95,2,U,-0.501,0.006
0.075,0.95,2,U,-0.534,0.006
0.05,0.95,2,U,-0.475,0.007
0.04,0.95,2,U,-0.422,0.008
0.03,0.95,2,U,-0.39,0.009
0.02,0.95,2,U,-0.328,0.011
0.01,0.95,2,U,-0.158,0.013
0,0.95,2,U,1.015,0.005
0.01,0.95,2,L,0.441,0.01
0.02,0.95,2,L,0.089,0.01
0.03,0.95,2,L,0.002,0.009
0.05,0.95,2,L,-0.086,0.007
0.1,0.95,2,L,-0.198,0.005
0.2,0.95,2,L,-0.312,0.005
0.3,0.95,2,L,-0.183,0.004
0.4,0.95,2,L,-0.146,0.004
0.5,0.95,2,L,-0.09,0.004
0.6,0.95,2,L,-0.133,0.004
0.7,0.95,2,L,-0.094,0.004
0.8,0.95,2,L,-0.066,0.004
0.9,0.95,2,L,0.014,0.004
0.95,0.95,2,L,0.107,0.003
