xc,yb,section,surf,cp,std
1,0.6,1,U,0.175,0.003
0.95,0.6,1,U,0.041,0.004
0.85,0.6,1,U,-0.053,0.004
0.8,0.6,1,U,0.007,0.007
0.75,0.6,1,U,-0.038,0.006
0.7,0.6,1,U,-0.157,0.003
0.65,0.6,1,U,-0.086,0.003
0.6,0.6,1,U,-0.107,0.003
0.55,0.6,1,U,-0.241,0.004
0.5,0.6,1,U,-0.182,0.003
0.45,0.6,1,U,-0.219,0.003
0.4,0.6,1,U,-0.258,0.004
0.35,0.6,1,U,-0.284,0.003
0.3,0.6,1,U,-0.397,0.004
0.25,0.6,1,U,-0.364,0.004
0.2,0.6,1,U,-0.478,0.004
0.15,0.6,1,U,-0.427,0.005
0.1,0.6,1,U,-0.438,0.006
0.075,0.6,1,U,-0.548,0.008
0.05,0.6,1,U,-0.456,0.009
0.04,0.6,1,U,-0.373,0.01
0.03,0.6,1,U,-0.332,0.011
0.02,0.6,1,U,-0.245,0.013
0.01,0.6,1,U,-0.113,0.015
0,0.6,1,U,1.085,0.004
0.01,0.6,1,L,0.289,0.013
0.02,0.6,1,L,0.004,0.012
0.05,0.6,1,L,-0.216,0.009
0.1,0.6,1,L,-0.376,0.006
0.2,0.6,1,L,-0.38,0.004
0.3,0.6,1,L,-0.235,0.004
0.4,0.6,1,L,-0.192,0.004
0.5,0.6,1,L,-0.248,0.004
0.6,0.6,1,L,-0.173,0.003
0.7,0.6,1,L,-0.128,0.003
0.8,0.6,1,L,0.032,0.003
1,0.95,2,U,0.127,0.004
0.95,0.95,2,U,0.035,0.004
0.9,0.95,2,U,0.021,0.003
0.85,0.95,2,U,0.063,0.003
0.8,0.95,2,U,0.025,0.003
0.75,0.95,2,U,-0.061,0.003
0.7,0.95,2,U,0.003,0.004
0.65,0.95,2,U,-0.121,0.003
0.6,0.95,2,U,-0.054,0.003
0.55,0.95,2,U,-0.16,0.003
0.5,0.95,2,U,-0.18,0.003
0.45,0.95,2,U,-0.134,0.003
0.4,0.95,2,U,-0.256,0.003
0.35,0.95,2,U,-0.301,0.003
0.25,0.95,2,U,-0.361,0.003
0.2,0.95,2,U,-0.283,0.004
0.15,0.95,2,U,-0.314,0.004
0.1,0.95,2,U,-0.344,0.005
0.075,0.95,2,U,-0.334,0.006
0.05,0.95,2,U,-0.296,0.007
0.04,0.95,2,U,-0.398,0.008
0.03,0.95,2,U,-0.348,0.01
0.02,0.95,2,U,-0.278,0.012
0.01,0.95,2,U,0.04,0.014
0,0.95,2,U,1.084,0.004
0.01,0.95,2,L,0.228,0.012
0.02,0.95,2,L,0.065,0.011
0.03,0.95,2,L,-0.07,0.009
0.05,0.95,2,L,-0.229,0.007
0.1,0.95,2,L,-0.351,0.005
0.2,0.95,2,L,-0.207,0.004
0.3,0.95,2,L,-0.301,0.003
0.4,0.95,2,L,-0.226,0.003
0.5,0.95,2,L,-0.214,0.003
0.6,0.95,2,L,-0.056,0.003
0.7,0.95,2,L,-0.024,0.003
0.8,0.95,2,L,0.015,0.004
0.9,0.95,2,L,0.079,0.003
0.95,0.95,2,L,0.077,0.003
