xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,,,,,,
0.55,0.95,2,U,-0.104,0.005,,,,,,,,,,,,,,,,,,,,,
0.5,0.95,2,U,-0.138,0.005,,,,,,,,,,,,,,,,,,,,,
0.45,0.95,2,U,-0.241,0.005,,,,,,,,,,,,,,,,,,,,,
0.4,0.95,2,U,-0.186,0.005,,,,,,,,,,,,,,,,,,,,,
0.35,0.95,2,U,-0.209,0.006,,,,,,,,,,,,,,,,,,,,,
0.25,0.95,2,U,-0.3,0.006,,,,,,,,,,,,,,,,,,,,,
0.2,0.95,2,U,-0.446,0.006,,,,,,,,,,,,,,,,,,,,,
0.15,0.95,2,U,-0.507,0.006,,,,,,,,,,,,,,,,,,,,,
0.1,0.95,2,U,-0.541,0.007,,,,,,,,,,,,,,,,,,,,,
0.075,0.95,2,U,-0.587,0.008,,,,,,,,,,,,,,,,,,,,,
0.05,0.95,2,U,-0.494,0.008,,,,,,,,,,,,,,,,,,,,,
0.04,0.95,2,U,-0.42,0.009,,,,,,,,,,,,,,,,,,,,,
0.03,0.95,2,U,-0.382,0.01,,,,,,,,,,,,,,,,,,,,,
0.02,0.95,2,U,-0.306,0.011,,,,,,,,,,,,,,,,,,,,,
0.01,0.95,2,U,-0.129,0.013,,,,,,,,,,,,,,,,,,,,,
0,0.95,2,U,1.031,0.005,,,,,,,,,,,,,,,,,,,,,
0.01,0.95,2,L,0.469,0.01,,,,,,,,,,,,,,,,,,,,,
0.02,0.95,2,L,0.088,0.009,,,,,,,,,,,,,,,,,,,,,
0.03,0.95,2,L,0.011,0.009,,,,,,,,,,,,,,,,,,,,,
0.05,0.95,2,L,-0.084,0.007,,,,,,,,,,,,,,,,,,,,,
0.1,0.95,2,L,-0.204,0.006,,,,,,,,,,,,,,,,,,,,,
0.2,0.95,2,L,-0.349,0.005,,,,,,,,,,,,,,,,,,,,,
0.3,0.95,2,L,-0.187,0.005,,,,,,,,,,,,,,,,,,,,,
0.4,0.95,2,L,-0.151,0.005,,,,,,,,,,,,,,,,,,,,,
0.5,0.95,2,L,-0.084,0.005,,,,,,,,,,,,,,,,,,,,,
0.6,0.95,2,L,-0.153,0.005,,,,,,,,,,,,,,,,,,,,,
0.7,0.95,2,L,-0.108,0.005,,,,,,,,,,,,,,,,,,,,,
0.8,0.95,2,L,-0.074,0.005,,,,,,,,,,,,,,,,,,,,,
0.9,0.95,2,L,0.006,0.005,,,,,,,,,,,,,,,,,,,,,
0.95,0.95,2,L,0.115,0.004,,,,,,,,,,,,,,,,,,,,,
