xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,,,
1,0.6,1,U,0.249,0.005,,,,,,,,,,,,,,,,,,
0.95,0.6,1,U,0.243,0.006,,,,,,,,,,,,,,,,,,
0.85,0.6,1,U,0.111,0.007,,,,,,,,,,,,,,,,,,
0.8,0.6,1,U,-0.066,0.009,,,,,,,,,,,,,,,,,,
0.75,0.6,1,U,-0.105,0.008,,,,,,,,,,,,,,,,,,
0.7,0.6,1,U,-0.043,0.008,,,,,,,,,,,,,,,,,,
0.65,0.6,1,U,-0.2,0.007,,,,,,,,,,,,,,,,,,
0.6,0.6,1,U,-0.256,0.008,,,,,,,,,,,,,,,,,,
0.55,0.6,1,U,-0.165,0.008,,,,,,,,,,,,,,,,,,
0.5,0.6,1,U,-0.333,0.008,,,,,,,,,,,,,,,,,,
0.45,0.6,1,U,-0.372,0.009,,,,,,,,,,,,,,,,,,
0.4,0.6,1,U,-0.41,0.009,,,,,,,,,,,,,,,,,,
0.35,0.6,1,U,-0.475,0.009,,,,,,,,,,,,,,,,,,
0.3,0.6,1,U,-0.44,0.01,,,,,,,,,,,,,,,,,,
0.25,0.6,1,U,-0.588,0.011,,,,,,,,,,,,,,,,,,
0.2,0.6,1,U,-0.555,0.011,,,,,,,,,,,,,,,,,,
0.15,0.6,1,U,-0.681,0.012,,,,,,,,,,,,,,,,,,
0.1,0.6,1,U,-0.67,0.012,,,,,,,,,,,,,,,,,,
0.075,0.6,1,U,-0.694,0.017,,,,,,,,,,,,,,,,,,
0.05,0.6,1,U,-0.274,0.009,,,,,,,,,,,,,,,,,,
0.04,0.6,1,U,-0.424,0.01,,,,,,,,,,,,,,,,,,
0.03,0.6,1,U,-0.389,0.011,,,,,,,,,,,,,,,,,,
0.02,0.6,1,U,-0.277,0.012,,,,,,,,,,,,,,,,,,
0.01,0.6,1,U,0.152,0.013,,,,,,,,,,,,,,,,,,
0,0.6,1,U,1.083,0.005,,,,,,,,,,,,,,,,,,
0.01,0.6,1,L,0.437,0.011,,,,,,,,,,,,,,,,,,
0.02,0.6,1,L,0.15,0.012,,,,,,,,,,,,,,,,,,
0.05,0.6,1,L,-0.056,0.009,,,,,,,,,,,,,,,,,,
0.1,0.6,1,L,-0.323,0.01,,,,,,,,,,,,,,,,,,
0.2,0.6,1,L,-0.398,0.01,,,,,,,,,,,,,,,,,,
0.3,0.6,1,L,-0.476,0.01,,,,,,,,,,,,,,,,,,
0.4,0.6,1,L,-0.367,0.008,,,,,,,,,,,,,,,,,,
0.5,0.6,1,L,-0.179,0.008,,,,,,,,,,,,,,,,,,
0.6,0.6,1,L,-0.117,0.008,,,,,,,,,,,,,,,,,,
0.7,0.6,1,L,-0.036,0.007,,,,,,,,,,,,,,,,,,
0.8,0.6,1,L,-0.098,0.007,,,,,,,,,,,,,,,,,,
1,0.95,2,U,0.02,0.005,,,,,,,,,,,,,,,,,,
0.95,0.95,2,U,0.261,0.006,,,,,,,,,,,,,,,,,,
0.9,0.95,2,U,0.108,0.006,,,,,,,,,,,,,,,,,,
0.85,0.95,2,U,-0.033,0.006,,,,,,,,,,,,,,,,,,
0.8,0.95,2,U,-0.055,0.007,,,,,,,,,,,,,,,,,,
0.75,0.95,2,U,-0.005,0.007,,,,,,,,,,,,,,,,,,
0.7,0.95,2,U,-0.143,0.007,,,,,,,,,,,,,,,,,,
0.65,0.95,2,U,-0.042,0.007,,,,,,,,,,,,,,,,,,
0.6,0.95,2,U,-0.18,0.007,,,,,,,,,,,,,,,,,,
0.55,0.95,2,U,-0.109,0.007,,,,,,,,,,,,,,,,,,
0.5,0.95,2,U,-0.147,0.007,,,,,,,,,,,,,,,,,,
0.45,0.95,2,U,-0.265,0.007,,,,,,,,,,,,,,,,,,
0.4,0.95,2,U,-0.195,0.008,,,,,,,,,,,,,,,,,,
0.35,0.95,2,U,-0.218,0.008,,,,,,,,,,,,,,,,,,
0.25,0.95,2,U,-0.312,0.009,,,,,,,,,,,,,,,,,,
0.2,0.95,2,U,-0.475,0.009,,,,,,,,,,,,,,,,,,
0.15,0.95,2,U,-0.534,0.009,,,,,,,,,,,,,,,,,,
0.1,0.95,2,U,-0.549,0.01,,,,,,,,,,,,,,,,,,
0.075,0.95,2,U,-0.609,0.012,,,,,,,,,,,,,,,,,,
0.05,0.95,2,U,-0.411,0.009,,,,,,,,,,,,,,,,,,
0.04,0.95,2,U,-0.309,0.01,,,,,,,,,,,,,,,,,,
0.03,0.95,2,U,-0.249,0.01,,,,,,,,,,,,,,,,,,
