xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,,,,
1,0.6,1,U,0.242,0.005,,,,,,,,,,,,,,,,,,,
0.95,0.6,1,U,0.247,0.006,,,,,,,,,,,,,,,,,,,
0.85,0.6,1,U,0.118,0.007,,,,,,,,,,,,,,,,,,,
0.8,0.6,1,U,-0.063,0.008,,,,,,,,,,,,,,,,,,,
0.75,0.6,1,U,-0.106,0.008,,,,,,,,,,,,,,,,,,,
0.7,0.6,1,U,-0.05,0.008,,,,,,,,,,,,,,,,,,,
0.65,0.6,1,U,-0.213,0.007,,,,,,,,,,,,,,,,,,,
0.6,0.6,1,U,-0.274,0.008,,,,,,,,,,,,,,,,,,,
0.55,0.6,1,U,-0.19,0.008,,,,,,,,,,,,,,,,,,,
0.5,0.6,1,U,-0.367,0.009,,,,,,,,,,,,,,,,,,,
0.45,0.6,1,U,-0.417,0.009,,,,,,,,,,,,,,,,,,,
0.4,0.6,1,U,-0.468,0.01,,,,,,,,,,,,,,,,,,,
0.35,0.6,1,U,-0.549,0.01,,,,,,,,,,,,,,,,,,,
0.3,0.6,1,U,-0.534,0.011,,,,,,,,,,,,,,,,,,,
0.25,0.6,1,U,-0.706,0.012,,,,,,,,,,,,,,,,,,,
0.2,0.6,1,U,-0.687,0.015,,,,,,,,,,,,,,,,,,,
0.15,0.6,1,U,-1.225,0.111,,,,,,,,,,,,,,,,,,,
0.1,0.6,1,U,-1.428,0.006,,,,,,,,,,,,,,,,,,,
0.075,0.6,1,U,-1.298,0.005,,,,,,,,,,,,,,,,,,,
0.05,0.6,1,U,-0.601,0.01,,,,,,,,,,,,,,,,,,,
0.04,0.6,1,U,-0.802,0.01,,,,,,,,,,,,,,,,,,,
0.03,0.6,1,U,-0.856,0.012,,,,,,,,,,,,,,,,,,,
0.02,0.6,1,U,-0.797,0.014,,,,,,,,,,,,,,,,,,,
0.01,0.6,1,U,-0.38,0.013,,,,,,,,,,,,,,,,,,,
0,0.6,1,U,0.951,0.007,,,,,,,,,,,,,,,,,,,
0.01,0.6,1,L,0.78,0.008,,,,,,,,,,,,,,,,,,,
0.02,0.6,1,L,0.517,0.009,,,,,,,,,,,,,,,,,,,
0.05,0.6,1,L,0.252,0.009,,,,,,,,,,,,,,,,,,,
0.1,0.6,1,L,-0.037,0.008,,,,,,,,,,,,,,,,,,,
0.2,0.6,1,L,-0.199,0.009,,,,,,,,,,,,,,,,,,,
0.3,0.6,1,L,-0.342,0.008,,,,,,,,,,,,,,,,,,,
0.4,0.6,1,L,-0.279,0.008,,,,,,,,,,,,,,,,,,,
0.5,0.6,1,L,-0.122,0.009,,,,,,,,,,,,,,,,,,,
0.6,0.6,1,L,-0.081,0.007,,,,,,,,,,,,,,,,,,,
0.7,0.6,1,L,-0.017,0.007,,,,,,,,,,,,,,,,,,,
0.8,0.6,1,L,-0.093,0.007,,,,,,,,,,,,,,,,,,,
1,0.95,2,U,0.022,0.005,,,,,,,,,,,,,,,,,,,
