xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,,
1,0.6,1,U,0.241,0.004,,,,,,,,,,,,,,,,,
0.95,0.6,1,U,0.214,0.008,,,,,,,,,,,,,,,,,
0.85,0.6,1,U,0.093,0.005,,,,,,,,,,,,,,,,,
0.8,0.6,1,U,-0.062,0.006,,,,,,,,,,,,,,,,,
0.75,0.6,1,U,-0.096,0.006,,,,,,,,,,,,,,,,,
0.7,0.6,1,U,-0.043,0.006,,,,,,,,,,,,,,,,,
0.65,0.6,1,U,-0.176,0.005,,,,,,,,,,,,,,,,,
0.6,0.6,1,U,-0.223,0.005,,,,,,,,,,,,,,,,,
0.55,0.6,1,U,-0.139,0.005,,,,,,,,,,,,,,,,,
0.5,0.6,1,U,-0.285,0.006,,,,,,,,,,,,,,,,,
0.45,0.6,1,U,-0.313,0.006,,,,,,,,,,,,,,,,,
0.4,0.6,1,U,-0.341,0.006,,,,,,,,,,,,,,,,,
0.35,0.6,1,U,-0.388,0.005,,,,,,,,,,,,,,,,,
0.3,0.6,1,U,-0.345,0.006,,,,,,,,,,,,,,,,,
0.25,0.6,1,U,-0.461,0.006,,,,,,,,,,,,,,,,,
0.2,0.6,1,U,-0.414,0.006,,,,,,,,,,,,,,,,,
0.15,0.6,1,U,-0.508,0.007,,,,,,,,,,,,,,,,,
0.1,0.6,1,U,-0.5,0.007,,,,,,,,,,,,,,,,,
0.075,0.6,1,U,-0.409,0.01,,,,,,,,,,,,,,,,,
0.05,0.6,1,U,-0.201,0.008,,,,,,,,,,,,,,,,,
0.04,0.6,1,U,-0.316,0.01,,,,,,,,,,,,,,,,,
0.03,0.6,1,U,-0.271,0.011,,,,,,,,,,,,,,,,,
0.02,0.6,1,U,-0.162,0.011,,,,,,,,,,,,,,,,,
0.01,0.6,1,U,0.248,0.012,,,,,,,,,,,,,,,,,
0,0.6,1,U,1.058,0.004,,,,,,,,,,,,,,,,,
0.01,0.6,1,L,0.236,0.012,,,,,,,,,,,,,,,,,
0.02,0.6,1,L,-0.044,0.012,,,,,,,,,,,,,,,,,
0.05,0.6,1,L,-0.196,0.009,,,,,,,,,,,,,,,,,
0.1,0.6,1,L,-0.382,0.007,,,,,,,,,,,,,,,,,
0.2,0.6,1,L,-0.399,0.006,,,,,,,,,,,,,,,,,
0.3,0.6,1,L,-0.452,0.006,,,,,,,,,,,,,,,,,
0.4,0.6,1,L,-0.347,0.006,,,,,,,,,,,,,,,,,
0.5,0.6,1,L,-0.176,0.006,,,,,,,,,,,,,,,,,
0.6,0.6,1,L,-0.116,0.006,,,,,,,,,,,,,,,,,
0.7,0.6,1,L,-0.039,0.005,,,,,,,,,,,,,,,,,
0.8,0.6,1,L,-0.089,0.005,,,,,,,,,,,,,,,,,
1,0.95,2,U,0.02,0.004,,,,,,,,,,,,,,,,,
0.95,0.95,2,U,0.214,0.005,,,,,,,,,,,,,,,,,
0.9,0.95,2,U,0.095,0.005,,,,,,,,,,,,,,,,,
0.85,0.95,2,U,-0.03,0.005,,,,,,,,,,,,,,,,,
0.8,0.95,2,U,-0.051,0.005,,,,,,,,,,,,,,,,,
0.75,0.95,2,U,-0.007,0.005,,,,,,,,,,,,,,,,,
0.7,0.95,2,U,-0.129,0.005,,,,,,,,,,,,,,,,,
0.65,0.95,2,U,-0.04,0.005,,,,,,,,,,,,,,,,,
0.6,0.95,2,U,-0.16,0.005,,,,,,,,,,,,,,,,,
0.55,0.95,2,U,-0.097,0.005,,,,,,,,,,,,,,,,,
0.5,0.95,2,U,-0.129,0.005,,,,,,,,,,,,,,,,,
0.45,0.95,2,U,-0.23,0.005,,,,,,,,,,,,,,,,,
0.4,0.95,2,U,-0.167,0.005,,,,,,,,,,,,,,,,,
0.35,0.95,2,U,-0.183,0.006,,,,,,,,,,,,,,,,,
0.25,0.95,2,U,-0.257,0.006,,,,,,,,,,,,,,,,,
0.2,0.95,2,U,-0.393,0.006,,,,,,,,,,,,,,,,,
0.15,0.95,2,U,-0.434,0.006,,,,,,,,,,,,,,,,,
0.1,0.95,2,U,-0.435,0.007,,,,,,,,,,,,,,,,,
0.075,0.95,2,U,-0.445,0.008,,,,,,,,,,,,,,,,,
0.05,0.95,2,U,-0.33,0.008,,,,,,,,,,,,,,,,,
0.04,0.95,2,U,-0.227,0.009,,,,,,,,,,,,,,,,,
0.03,0.95,2,U,-0.165,0.009,,,,,,,,,,,,,,,,,
0.02,0.95,2,U,-0.055,0.011,,,,,,,,,,,,,,,,,
0.01,0.95,2,U,0.138,0.012,,,,,,,,,,,,,,,,,
0,0.95,2,U,1.064,0.004,,,,,,,,,,,,,,,,,
0.01,0.95,2,L,0.244,0.011,,,,,,,,,,,,,,,,,
0.02,0.95,2,L,-0.137,0.011,,,,,,,,,,,,,,,,,
0.03,0.95,2,L,-0.214,0.01,,,,,,,,,,,,,,,,,
0.05,0.95,2,L,-0.243,0.008,,,,,,,,,,,,,,,,,
0.1,0.95,2,L,-0.309,0.006,,,,,,,,,,,,,,,,,
0.2,0.95,2,L,-0.411,0.006,,,,,,,,,,,,,,,,,
0.3,0.95,2,L,-0.217,0.005,,,,,,,,,,,,,,,,,
0.4,0.95,2,L,-0.167,0.005,,,,,,,,,,,,,,,,,
0.5,0.95,2,L,-0.089,0.005,,,,,,,,,,,,,,,,,
