xc,yb,section,surf,cp,std
1,0.6,1,U,0.17,0.003
0.95,0.6,1,U,0.041,0.004
0.85,0.6,1,U,-0.059,0.004
0.8,0.6,1,U,-0.002,0.007
0.75,0.6,1,U,-0.054,0.006
0.7,0.6,1,U,-0.18,0.004
0.65,0.6,1,U,-0.111,0.003
0.6,0.6,1,U,-0.139,0.004
0.55,0.6,1,U,-0.285,0.004
0.5,0.6,1,U,-0.233,0.004
0.45,0.6,1,U,-0.279,0.003
0.4,0.6,1,U,-0.331,0.003
0.35,0.6,1,U,-0.371,0.003
0.3,0.6,1,U,-0.506,0.004
0.25,0.6,1,U,-0.493,0.004
0.2,0.6,1,U,-0.64,0.004
0.15,0.6,1,U,-0.63,0.005
0.1,0.6,1,U,-0.705,0.007
0.075,0.6,1,U,-0.875,0.008
0.05,0.6,1,U,-0.849,0.011
0.04,0.6,1,U,-0.812,0.011
0.03,0.6,1,U,-0.834,0.013
0.02,0.6,1,U,-0.832,0.016
0.01,0.6,1,U,-0.808,0.02
0,0.6,1,U,0.83,0.012
0.01,0.6,1,L,0.685,0.009
0.02,0.6,1,L,0.405,0.01
0.05,0.6,1,L,0.093,0.007
0.1,0.6,1,L,-0.138,0.006
0.2,0.6,1,L,-0.226,0.004
0.3,0.6,1,L,-0.123,0.004
0.4,0.6,1,L,-0.112,0.003
0.5,0.6,1,L,-0.192,0.004
0.6,0.6,1,L,-0.133,0.004
0.7,0.6,1,L,-0.102,0.004
0.8,0.6,1,L,0.048,0.003
1,0.95,2,U,0.13,0.004
0.95,0.95,2,U,0.003,0.003
0.9,0.95,2,U,-0.004,0.003
0.85,0.95,2,U,0.046,0.003
0.8,0.95,2,U,0.01,0.003
0.75,0.95,2,U,-0.078,0.003
0.7,0.95,2,U,-0.01,0.004
0.65,0.95,2,U,-0.136,0.003
0.6,0.95,2,U,-0.068,0.003
0.55,0.95,2,U,-0.178,0.003
0.5,0.95,2,U,-0.2,0.003
0.45,0.95,2,U,-0.157,0.003
0.4,0.95,2,U,-0.286,0.003
0.35,0.95,2,U,-0.34,0.003
0.25,0.95,2,U,-0.422,0.003
0.2,0.95,2,U,-0.36,0.004
0.15,0.95,2,U,-0.419,0.005
0.1,0.95,2,U,-0.494,0.005
0.075,0.95,2,U,-0.523,0.006
0.05,0.95,2,U,-0.536,0.008
0.04,0.95,2,U,-0.675,0.008
0.03,0.95,2,U,-0.667,0.01
0.02,0.95,2,U,-0.66,0.012
0.01,0.95,2,U,-0.41,0.016
0,0.95,2,U,0.948,0.008
0.01,0.95,2,L,0.534,0.009
0.02,0.95,2,L,0.361,0.009
0.03,0.95,2,L,0.2,0.008
0.05,0.95,2,L,-0.018,0.007
0.1,0.95,2,L,-0.207,0.005
0.2,0.95,2,L,-0.124,0.004
0.3,0.95,2,L,-0.254,0.003
0.4,0.95,2,L,-0.199,0.003
0.5,0.95,2,L,-0.203,0.003
0.6,0.95,2,L,-0.053,0.003
0.7,0.95,2,L,-0.031,0.003
0.8,0.95,2,L,-0.001,0.004
0.9,0.95,2,L,0.058,0.003
0.95,0.95,2,L,0.057,0.003
