xc,yb,section,surf,cp,std,,,,,,,,,,,,,,,,,,
1,0.6,1,U,0.23,0.004,,,,,,,,,,,,,,,,,,
0.95,0.6,1,U,0.183,0.004,,,,,,,,,,,,,,,,,,
0.85,0.6,1,U,0.071,0.004,,,,,,,,,,,,,,,,,,
0.8,0.6,1,U,-0.056,0.005,,,,,,,,,,,,,,,,,,
0.75,0.6,1,U,-0.089,0.005,,,,,,,,,,,,,,,,,,
0.7,0.6,1,U,-0.061,0.004,,,,,,,,,,,,,,,,,,
0.65,0.6,1,U,-0.167,0.004,,,,,,,,,,,,,,,,,,
0.6,0.6,1,U,-0.211,0.004,,,,,,,,,,,,,,,,,,
0.55,0.6,1,U,-0.157,0.005,,,,,,,,,,,,,,,,,,
0.5,0.6,1,U,-0.275,0.004,,,,,,,,,,,,,,,,,,
0.45,0.6,1,U,-0.305,0.004,,,,,,,,,,,,,,,,,,
0.4,0.6,1,U,-0.335,0.004,,,,,,,,,,,,,,,,,,
0.35,0.6,1,U,-0.381,0.004,,,,,,,,,,,,,,,,,,
0.3,0.6,1,U,-0.36,0.004,,,,,,,,,,,,,,,,,,
0.25,0.6,1,U,-0.461,0.005,,,,,,,,,,,,,,,,,,
0.2,0.6,1,U,-0.442,0.006,,,,,,,,,,,,,,,,,,
0.15,0.6,1,U,-0.532,0.005,,,,,,,,,,,,,,,,,,
0.1,0.6,1,U,-0.551,0.007,,,,,,,,,,,,,,,,,,
0.075,0.6,1,U,-0.492,0.009,,,,,,,,,,,,,,,,,,
0.05,0.6,1,U,-0.344,0.009,,,,,,,,,,,,,,,,,,
0.04,0.6,1,U,-0.452,0.01,,,,,,,,,,,,,,,,,,
0.03,0.6,1,U,-0.427,0.012,,,,,,,,,,,,,,,,,,
0.02,0.6,1,U,-0.345,0.013,,,,,,,,,,,,,,,,,,
0.01,0.6,1,U,0.002,0.015,,,,,,,,,,,,,,,,,,
0,0.6,1,U,1.031,0.004,,,,,,,,,,,,,,,,,,
0.01,0.6,1,L,0.367,0.012,,,,,,,,,,,,,,,,,,
0.02,0.6,1,L,0.092,0.011,,,,,,,,,,,,,,,,,,
0.05,0.6,1,L,-0.094,0.009,,,,,,,,,,,,,,,,,,
0.1,0.6,1,L,-0.272,0.006,,,,,,,,,,,,,,,,,,
0.2,0.6,1,L,-0.316,0.005,,,,,,,,,,,,,,,,,,
0.3,0.6,1,L,-0.365,0.005,,,,,,,,,,,,,,,,,,
0.4,0.6,1,L,-0.284,0.005,,,,,,,,,,,,,,,,,,
0.5,0.6,1,L,-0.156,0.004,,,,,,,,,,,,,,,,,,
0.6,0.6,1,L,-0.104,0.004,,,,,,,,,,,,,,,,,,
0.7,0.6,1,L,-0.038,0.004,,,,,,,,,,,,,,,,,,
0.8,0.6,1,L,-0.071,0.004,,,,,,,,,,,,,,,,,,
1,0.95,2,U,0.03,0.004,,,,,,,,,,,,,,,,,,
0.95,0.95,2,U,0.188,0.004,,,,,,,,,,,,,,,,,,
0.9,0.95,2,U,0.085,0.003,,,,,,,,,,,,,,,,,,
0.85,0.95,2,U,-0.015,0.004,,,,,,,,,,,,,,,,,,
0.8,0.95,2,U,-0.038,0.004,,,,,,,,,,,,,,,,,,
0.75,0.95,2,U,-0.01,0.004,,,,,,,,,,,,,,,,,,
0.7,0.95,2,U,-0.108,0.004,,,,,,,,,,,,,,,,,,
0.65,0.95,2,U,-0.045,0.004,,,,,,,,,,,,,,,,,,
0.6,0.95,2,U,-0.141,0.004,,,,,,,,,,,,,,,,,,
0.55,0.95,2,U,-0.1,0.004,,,,,,,,,,,,,,,,,,
0.5,0.95,2,U,-0.13,0.004,,,,,,,,,,,,,,,,,,
0.45,0.95,2,U,-0.213,0.004,,,,,,,,,,,,,,,,,,
0.4,0.95,2,U,-0.174,0.004,,,,,,,,,,,,,,,,,,
0.35,0.95,2,U,-0.196,0.004,,,,,,,,,,,,,,,,,,
0.25,0.95,2,U,-0.271,0.004,,,,,,,,,,,,,,,,,,
0.2,0.95,2,U,-0.386,0.005,,,,,,,,,,,,,,,,,,
0.15,0.95,2,U,-0.431,0.005,,,,,,,,,,,,,,,,,,
0.1,0.95,2,U,-0.45,0.006,,,,,,,,,,,,,,,,,,
0.075,0.95,2,U,-0.469,0.006,,,,,,,,,,,,,,,,,,
0.05,0.95,2,U,-0.395,0.007,,,,,,,,,,,,,,,,,,
0.04,0.95,2,U,-0.329,0.008,,,,,,,,,,,,,,,,,,
