xc,yb,section,surf,cp,std
1,0.6,1,U,0.159,0.003
0.95,0.6,1,U,0.009,0.004
0.85,0.6,1,U,-0.085,0.004
0.8,0.6,1,U,0.013,0.007
0.75,0.6,1,U,-0.039,0.006
0.7,0.6,1,U,-0.2,0.0003
0.65,0.6,1,U,-0.091,0.003
0.6,0.6,1,U,-0.114,0.003
0.55,0.6,1,U,-0.297,0.003
0.5,0.6,1,U,-0.208,0.003
0.45,0.6,1,U,-0.254,0.003
0.4,0.6,1,U,-0.308,0.003
0.35,0.6,1,U,-0.34,0.003
0.3,0.6,1,U,-0.501,0.003
0.25,0.6,1,U,-0.458,0.003
0.2,0.6,1,U,-0.631,0.004
0.15,0.6,1,U,-0.588,0.005
0.1,0.6,1,U,-0.66,0.006
0.075,0.6,1,U,-0.842,0.008
0.05,0.6,1,U,-0.854,0.011
0.04,0.6,1,U,-0.78,0.011
0.03,0.6,1,U,-0.797,0.013
0.02,0.6,1,U,-0.798,0.016
0.01,0.6,1,U,-0.823,0.021
0,0.6,1,U,0.805,0.014
0.01,0.6,1,L,0.667,0.01
0.02,0.6,1,L,0.386,0.01
0.05,0.6,1,L,0.069,0.008
0.1,0.6,1,L,-0.147,0.006
0.2,0.6,1,L,-0.233,0.005
0.3,0.6,1,L,-0.091,0.004
0.4,0.6,1,L,-0.082,0.003
0.5,0.6,1,L,-0.206,0.004
0.6,0.6,1,L,-0.142,0.004
0.7,0.6,1,L,-0.106,0.004
0.8,0.6,1,L,0.069,0.004
1,0.95,2,U,0.144,0.004
0.95,0.95,2,U,-0.026,0.004
0.9,0.95,2,U,-0.015,0.003
0.85,0.95,2,U,0.063,0.003
0.8,0.95,2,U,0.025,0.003
0.75,0.95,2,U,-0.083,0.003
0.7,0.95,2,U,0.014,0.004
0.65,0.95,2,U,-0.147,0.003
0.6,0.95,2,U,-0.047,0.003
0.55,0.95,2,U,-0.186,0.003
0.5,0.95,2,U,-0.204,0.003
0.45,0.95,2,U,-0.134,0.003
0.4,0.95,2,U,-0.298,0.003
0.35,0.95,2,U,-0.357,0.003
0.25,0.95,2,U,-0.432,0.003
0.2,0.95,2,U,-0.336,0.004
0.15,0.95,2,U,-0.388,0.005
0.1,0.95,2,U,-0.46,0.005
0.075,0.95,2,U,-0.487,0.006
0.05,0.95,2,U,-0.505,0.008
0.04,0.95,2,U,-0.679,0.009
0.03,0.95,2,U,-0.671,0.011
0.02,0.95,2,U,-0.67,0.013
0.01,0.95,2,U,-0.406,0.017
0,0.95,2,U,0.937,0.009
0.01,0.95,2,L,0.509,0.01
0.02,0.95,2,L,0.375,0.01
0.03,0.95,2,L,0.214,0.008
0.05,0.95,2,L,-0.028,0.007
0.1,0.95,2,L,-0.219,0.005
0.2,0.95,2,L,-0.089,0.004
0.3,0.95,2,L,-0.268,0.003
0.4,0.95,2,L,-0.207,0.003
0.5,0.95,2,L,-0.22,0.003
0.6,0.95,2,L,-0.026,0.003
0.7,0.95,2,L,-0.015,0.003
0.8,0.95,2,L,0.006,0.004
0.9,0.95,2,L,0.072,0.003
0.95,0.95,2,L,0.048,0.003
