0.5625,-0.2396,-0.274,-0.2962,-0.3327,-0.3394,-0.3295,-0.3935
0.6,-0.256,-0.3138,-0.3219,-0.3608,-0.3679,-0.3615,-0.4395
0.65,-0.2369,-0.2894,-0.29,-0.3134,-0.3251,-0.3248,-0.3753
0.7,-0.1131,-0.1363,-0.1316,-0.1314,-0.1381,-0.1353,-0.1451
0.725,-0.0281,-0.0312,-0.027,-0.0209,-0.0265,-0.02,-0.0318
0.75,0.0429,0.0553,0.0657,0.0654,0.0577,0.0639,0.0609
0.775,0.1148,0.1312,0.145,0.1362,0.14,0.1459,0.1461
0.8,0.1602,0.1756,0.1905,0.1835,0.1875,0.1972,0.1905
0.825,0.1895,0.2144,0.2246,0.2195,0.2296,0.2278,0.223
0.85,0.2091,0.2318,0.2452,0.2396,0.2506,0.2509,0.2493
0.9,0.2193,0.244,0.2526,0.2519,0.2605,0.2667,0.2682
0.95,0.2266,0.2492,0.2607,0.2557,0.2606,0.2684,0.2731
1,0.2395,0.2366,0.2569,0.2329,0.2557,0.2492,0.2575
