,0.754,0.8,0.8
1,0.2599,0.2407,0.2493
0.95,0.189,0.1874,0.1932
0.925,0.1325,0.1485,0.1501
0.9,0.0667,0.1002,0.0984
0.86,-0.0536,-0.0103,0.0042
0.84,-0.1191,-0.0687,-0.0483
0.82,-0.1938,-0.1328,-0.1143
0.78,-0.3375,-0.2673,-0.2173
0.76,-0.3928,-0.324,-0.2663
0.74,-0.4526,-0.3743,-0.3017
0.72,-0.4834,-0.4017,-0.332
0.7,-0.501,-0.4074,-0.4001
0.68,-0.4962,-0.3999,-0.5439
0.66,-0.4909,-0.404,-0.8401
0.64,-0.483,-0.4524,-0.8668
0.62,-0.4892,-0.5324,-0.8685
0.6,-0.5085,-0.7354,-0.8742
0.58,-0.5513,-0.7872,-0.875
0.56,-0.5922,-0.7641,-0.8466
0.54,-0.6283,-0.7872,-0.8348
0.52,-0.6321,-0.7844,-0.8018
0.5,-0.6486,-0.7751,-0.7943
0.475,-0.6564,-0.7534,-0.7916
0.45,-0.6465,-0.7611,-0.8045
0.425,-0.6485,-0.7662,-0.7915
0.4,-0.6183,-0.7661,-0.7782
0.375,-0.6163,-0.7614,-0.7683
0.35,-0.6039,-0.7593,-0.7495
0.325,-0.5896,-0.7527,-0.7475
0.3,-0.5833,-0.7704,-0.7489
0.2375,-0.585,-0.7687,-0.7627
0.225,-0.6606,-0.7776,-0.7613
0.2,-0.7911,-0.7585,-0.7521
0.18,-0.8164,-0.7524,-0.7389
0.16,-0.8187,-0.7224,-0.7157
0.14,-0.8179,-0.7044,-0.6928
0.12,-0.7957,-0.6672,-0.6606
0.1,-0.7555,-0.6363,-0.6491
0.09,-0.6844,-0.6072,-0.636
0.08,-0.6569,-0.6345,-0.6236
0.07,-0.6377,-0.6588,-0.638
0.06,-0.6875,-0.676,-0.6627
0.05,-0.8095,-0.7349,-0.6948
0.04,-0.863,-0.7457,-0.6913
0.03,-0.8156,-0.7019,-0.6437
0.01,0.4357,-0.3213,-0.2571
0.005,0.0376,0.1165,0.1721
0,1.1049,1.1411,1.1411
0.005,0.8171,0.8177,0.8202
0.01,0.5654,0.5474,0.5649
0.02,0.2776,0.2671,0.2769
0.03,0.0916,0.0947,0.095
0.04,-0.0116,-0.0034,-0.0042
0.05,-0.0659,-0.062,-0.0676
0.075,-0.1377,-0.1263,-0.1384
0.2,-0.3045,-0.3184,-0.3295
0.25,-0.3457,-0.3715,-0.388
0.3,-0.3995,-0.4324,-0.4554
0.35,-0.4412,-0.5079,-0.5487
0.4,-0.434,-0.5238,-0.6185
0.45,-0.3948,-0.4369,-0.6223
0.5,-0.365,-0.3914,-0.3796
0.5625,-0.3457,-0.3922,-0.398
0.6,-0.3723,-0.4239,-0.4404
0.65,-0.3353,-0.3538,-0.3682
0.7,-0.15,-0.1363,-0.1492
0.725,-0.0283,-0.0243,-0.0249
0.75,0.0533,0.0605,0.0581
0.775,0.1349,0.1317,0.137
0.8,0.1818,0.1832,0.1854
0.825,0.2165,0.2167,0.221
0.85,0.239,0.2413,0.2469
0.9,0.2544,0.2596,0.2635
0.95,0.257,0.2666,0.2694
1,0.2599,0.2407,0.2493
