xc,yb,section,surf,cp,std,,,,,,,,,,,,0.96556,0.98937
0.2,0.15604,2,U,-0.95375,,,,,,,,,,,,,,
0.15,0.15604,2,U,-1.11641,,,,,,,,,,,,,,
0.1,0.15604,2,U,-1.34043,,,,,,,,,,,,,,
0.05,0.15604,2,U,-1.90416,,,,,,,,,,,,,,
0.025,0.15604,2,U,-3.03627,,,,,,,,,,,,,,
0.0125,0.15604,2,U,-2.59834,,,,,,,,,,,,,,
0,0.15604,2,U,-1.09351,,,,,,,,,,,,,,
0.0125,0.15604,2,L,0.97038,,,,,,,,,,,,,,
0.025,0.15604,2,L,0.83061,,,,,,,,,,,,,,
0.05,0.15604,2,L,0.65397,,,,,,,,,,,,,,
0.1,0.15604,2,L,0.40194,,,,,,,,,,,,,,
0.15,0.15604,2,L,0.25757,,,,,,,,,,,,,,
0.2,0.15604,2,L,0.16905,,,,,,,,,,,,,,
0.3,0.15604,2,L,0.09917,,,,,,,,,,,,,,
0.4,0.15604,2,L,0.05724,,,,,,,,,,,,,,
0.5,0.15604,2,L,0.03394,,,,,,,,,,,,,,
0.6,0.15604,2,L,0.02462,,,,,,,,,,,,,,
0.7,0.15604,2,L,0.02462,,,,,,,,,,,,,,
0.8,0.15604,2,L,0.0386,,,,,,,,,,,,,,
0.9,0.15604,2,L,0.08053,,,,,,,,,,,,,,
0.98,0.15604,2,L,0.10848,,,,,,,,,,,,,,
0.98,0.20366,2,U,0.12712,,,,,,,,,,,,,,
0.9,0.20366,2,U,0.03394,,,,,,,,,,,,,,
0.8,0.20366,2,U,-0.09651,,,,,,,,,,,,,,
0.7,0.20366,2,U,-0.18503,,,,,,,,,,,,,,
0.6,0.20366,2,U,-0.28752,,,,,,,,,,,,,,
0.5,0.20366,2,U,-0.40665,,,,,,,,,,,,,,
0.4,0.20366,2,U,-0.55308,,,,,,,,,,,,,,
0.3,0.20366,2,U,-0.71614,,,,,,,,,,,,,,
0.2,0.20366,2,U,-0.94909,,,,,,,,,,,,,,
0.15,0.20366,2,U,-1.11215,,,,,,,,,,,,,,
0.1,0.20366,2,U,-1.33577,,,,,,,,,,,,,,
0.05,0.20366,2,U,-1.85291,,,,,,,,,,,,,,
0.025,0.20366,2,U,-2,,,,,,,,,,,,,,
0.0125,0.20366,2,U,-2.71015,,,,,,,,,,,,,,
0,0.20366,2,U,-1.02829,,,,,,,,,,,,,,
0.0125,0.20366,2,L,0.96572,,,,,,,,,,,,,,
0.025,0.20366,2,L,0.90981,,,,,,,,,,,,,,
0.05,0.20366,2,L,0.64426,,,,,,,,,,,,,,
0.1,0.20366,2,L,0.38336,,,,,,,,,,,,,,
0.15,0.20366,2,L,0.25291,,,,,,,,,,,,,,
0.2,0.20366,2,L,0.18303,,,,,,,,,,,,,,
0.3,0.20366,2,L,0.08519,,,,,,,,,,,,,,
0.4,0.20366,2,L,0.05258,,,,,,,,,,,,,,
0.5,0.20366,2,L,0.0386,,,,,,,,,,,,,,
0.6,0.20366,2,L,0.02928,,,,,,,,,,,,,,
0.7,0.20366,2,L,0.03394,,,,,,,,,,,,,,
0.8,0.20366,2,L,0.05724,,,,,,,,,,,,,,
0.9,0.20366,2,L,0.09451,,,,,,,,,,,,,,
0.98,0.20366,2,L,0.12712,,,,,,,,,,,,,,
0.98,0.25128,3,U,0.15041,,,,,,,,,,,,,,
0.9,0.25128,3,U,0.0386,,,,,,,,,,,,,,
0.8,0.25128,3,U,-0.07321,,,,,,,,,,,,,,
0.7,0.25128,3,U,-0.18037,,,,,,,,,,,,,,
0.6,0.25128,3,U,-0.28286,,,,,,,,,,,,,,
0.5,0.25128,3,U,-0.40865,,,,,,,,,,,,,,
0.4,0.25128,3,U,-0.54376,,,,,,,,,,,,,,
0.3,0.25128,3,U,-0.70216,,,,,,,,,,,,,,
0.2,0.25128,3,U,-0.93977,,,,,,,,,,,,,,
0.15,0.25128,3,U,-1.10749,,,,,,,,,,,,,,
0.1,0.25128,3,U,-1.33577,,,,,,,,,,,,,,
0.05,0.25128,3,U,-1.85757,,,,,,,,,,,,,,
0.025,0.25128,3,U,-2.28153,,,,,,,,,,,,,,
0.0125,0.25128,3,U,-2.62163,,,,,,,,,,,,,,
0,0.25128,3,U,-0.97704,,,,,,,,,,,,,,
0.0125,0.25128,3,L,0.97038,,,,,,,,,,,,,,
0.025,0.25128,3,L,0.90516,,,,,,,,,,,,,,
0.05,0.25128,3,L,0.64426,,,,,,,,,,,,,,
0.1,0.25128,3,L,0.3787,,,,,,,,,,,,,,
0.15,0.25128,3,L,0.24825,,,,,,,,,,,,,,
0.2,0.25128,3,L,0.17371,,,,,,,,,,,,,,
0.3,0.25128,3,L,0.08519,,,,,,,,,,,,,,
0.4,0.25128,3,L,0.05258,,,,,,,,,,,,,,
0.5,0.25128,3,L,0.0386,,,,,,,,,,,,,,
0.6,0.25128,3,L,0.03394,,,,,,,,,,,,,,
0.7,0.25128,3,L,0.04326,,,,,,,,,,,,,,
0.8,0.25128,3,L,0.06189,,,,,,,,,,,,,,
