xc,yb,section,surf,cp,std,,,,,,,,,,,,0.96556,0.98937
0.4,0.8227,14,L,0.02946,,,,,,,,,,,,,,
0.5,0.8227,14,L,0.05286,,,,,,,,,,,,,,
0.6,0.8227,14,L,0.0201,,,,,,,,,,,,,,
0.7,0.8227,14,L,0.0435,,,,,,,,,,,,,,
0.8,0.8227,14,L,0.07198,,,,,,,,,,,,,,
0.9,0.8227,14,L,0.11039,,,,,,,,,,,,,,
0.98,0.8227,14,L,0.18859,,,,,,,,,,,,,,
0.98,0.87032,15,U,0.18391,,,,,,,,,,,,,,
0.9,0.87032,15,U,0.11371,,,,,,,,,,,,,,
0.8,0.87032,15,U,0.00606,,,,,,,,,,,,,,
0.7,0.87032,15,U,-0.07819,,,,,,,,,,,,,,
0.6,0.87032,15,U,-0.14372,,,,,,,,,,,,,,
0.5,0.87032,15,U,-0.29604,,,,,,,,,,,,,,
0.4,0.87032,15,U,-0.36837,,,,,,,,,,,,,,
0.3,0.87032,15,U,-0.50411,,,,,,,,,,,,,,
0.2,0.87032,15,U,-0.68664,,,,,,,,,,,,,,
0.15,0.87032,15,U,-0.82705,,,,,,,,,,,,,,
0.1,0.87032,15,U,-1.00023,,,,,,,,,,,,,,
0.05,0.87032,15,U,-1.4121,,,,,,,,,,,,,,
0.025,0.87032,15,U,-1.67888,,,,,,,,,,,,,,
0.0125,0.87032,15,U,-1.95039,,,,,,,,,,,,,,
0,0.87032,15,U,-0.33093,,,,,,,,,,,,,,
0.0125,0.87032,15,L,0.98894,,,,,,,,,,,,,,
0.025,0.87032,15,L,0.82045,,,,,,,,,,,,,,
0.05,0.87032,15,L,0.5443,,,,,,,,,,,,,,
0.1,0.87032,15,L,0.30092,,,,,,,,,,,,,,
0.15,0.87032,15,L,0.18391,,,,,,,,,,,,,,
0.2,0.87032,15,L,0.08562,,,,,,,,,,,,,,
0.3,0.87032,15,L,0.02475,,,,,,,,,,,,,,
0.4,0.87032,15,L,0.01074,,,,,,,,,,,,,,
0.5,0.87032,15,L,0.01074,,,,,,,,,,,,,,
0.6,0.87032,15,L,0.0201,,,,,,,,,,,,,,
0.7,0.87032,15,L,0.03882,,,,,,,,,,,,,,
0.8,0.87032,15,L,0.0669,,,,,,,,,,,,,,
0.9,0.87032,15,L,0.10435,,,,,,,,,,,,,,
0.98,0.87032,15,L,0.17923,,,,,,,,,,,,,,
0.98,0.91794,16,U,0.17455,,,,,,,,,,,,,,
0.9,0.91794,16,U,0.08094,,,,,,,,,,,,,,
0.8,0.91794,16,U,-0.01266,,,,,,,,,,,,,,
0.7,0.91794,16,U,-0.06883,,,,,,,,,,,,,,
0.6,0.91794,16,U,-0.15308,,,,,,,,,,,,,,
0.5,0.91794,16,U,-0.22796,,,,,,,,,,,,,,
0.4,0.91794,16,U,-0.34029,,,,,,,,,,,,,,
0.3,0.91794,16,U,-0.45297,,,,,,,,,,,,,,
0.2,0.91794,16,U,-0.6258,,,,,,,,,,,,,,
0.15,0.91794,16,U,-0.76193,,,,,,,,,,,,,,
0.1,0.91794,16,U,-0.94474,,,,,,,,,,,,,,
0.05,0.91794,16,U,-1.29977,,,,,,,,,,,,,,
0.025,0.91794,16,U,-1.70607,,,,,,,,,,,,,,
0.0125,0.91794,16,U,-1.77249,,,,,,,,,,,,,,
0,0.91794,16,U,-0.1714,,,,,,,,,,,,,,
0.0125,0.91794,16,L,0.97958,,,,,,,,,,,,,,
0.025,0.91794,16,L,0.76428,,,,,,,,,,,,,,
0.05,0.91794,16,L,0.4975,,,,,,,,,,,,,,
0.1,0.91794,16,L,0.25412,,,,,,,,,,,,,,
0.15,0.91794,16,L,0.13243,,,,,,,,,,,,,,
0.2,0.91794,16,L,0.05794,,,,,,,,,,,,,,
0.3,0.91794,16,L,0.00606,,,,,,,,,,,,,,
0.4,0.91794,16,L,-0.00798,,,,,,,,,,,,,,
0.5,0.91794,16,L,-0.0033,,,,,,,,,,,,,,
0.6,0.91794,16,L,-0.0033,,,,,,,,,,,,,,
0.7,0.91794,16,L,0.01542,,,,,,,,,,,,,,
0.8,0.91794,16,L,0.03482,,,,,,,,,,,,,,
0.9,0.91794,16,L,0.08562,,,,,,,,,,,,,,
0.98,0.91794,16,L,0.16519,,,,,,,,,,,,,,
0.98,0.96556,17,U,0.10435,,,,,,,,,,,,,,
0.9,0.96556,17,U,0.00138,,,,,,,,,,,,,,
0.8,0.96556,17,U,-0.04543,,,,,,,,,,,,,,
0.7,0.96556,17,U,-0.07351,,,,,,,,,,,,,,
0.6,0.96556,17,U,-0.13903,,,,,,,,,,,,,,
0.5,0.96556,17,U,-0.18116,,,,,,,,,,,,,,
0.4,0.96556,17,U,-0.27009,,,,,,,,,,,,,,
0.3,0.96556,17,U,-0.35433,,,,,,,,,,,,,,
0.2,0.96556,17,U,-0.34497,,,,,,,,,,,,,,
0.15,0.96556,17,U,-0.59303,,,,,,,,,,,,,,
0.1,0.96556,17,U,-0.78961,,,,,,,,,,,,,,
0.05,0.96556,17,U,-1.06575,,,,,,,,,,,,,,
0.025,0.96556,17,U,-1.60868,,,,,,,,,,,,,,
0.0125,0.96556,17,U,-1.49167,,,,,,,,,,,,,,
0,0.96556,17,U,0.0903,,,,,,,,,,,,,,
0.0125,0.96556,17,L,0.94214,,,,,,,,,,,,,,
0.025,0.96556,17,L,0.70344,,,,,,,,,,,,,,
0.05,0.96556,17,L,0.42729,,,,,,,,,,,,,,
0.1,0.96556,17,L,0.22136,,,,,,,,,,,,,,
0.15,0.96556,17,L,0.19795,,,,,,,,,,,,,,
0.2,0.96556,17,L,0.10435,,,,,,,,,,,,,,
0.3,0.96556,17,L,0.01074,,,,,,,,,,,,,,
0.4,0.96556,17,L,-0.02202,,,,,,,,,,,,,,
0.5,0.96556,17,L,-0.01734,,,,,,,,,,,,,,
0.6,0.96556,17,L,-0.02671,,,,,,,,,,,,,,
0.7,0.96556,17,L,-0.01734,,,,,,,,,,,,,,
0.8,0.96556,17,L,0.00606,,,,,,,,,,,,,,
0.9,0.96556,17,L,0.03754,,,,,,,,,,,,,,
0.98,0.96556,17,L,0.12307,,,,,,,,,,,,,,
0.98,0.98937,18,U,-0.50411,,,,,,,,,,,,,,
0.9,0.98937,18,U,-0.68664,,,,,,,,,,,,,,
0.8,0.98937,18,U,-0.47602,,,,,,,,,,,,,,
0.7,0.98937,18,U,-0.29817,,,,,,,,,,,,,,
0.6,0.98937,18,U,-0.20456,,,,,,,,,,,,,,
0.5,0.98937,18,U,-0.1952,,,,,,,,,,,,,,
0.4,0.98937,18,U,-0.24668,,,,,,,,,,,,,,
0.3,0.98937,18,U,-0.30285,,,,,,,,,,,,,,
0.2,0.98937,18,U,-0.40382,,,,,,,,,,,,,,
0.15,0.98937,18,U,-0.48538,,,,,,,,,,,,,,
0.1,0.98937,18,U,-0.64452,,,,,,,,,,,,,,
0.05,0.98937,18,U,-0.85045,,,,,,,,,,,,,,
0.025,0.98937,18,U,-1.00257,,,,,,,,,,,,,,
0.0125,0.98937,18,U,-1.15468,,,,,,,,,,,,,,
0,0.98937,18,U,0.35241,,,,,,,,,,,,,,
0.0125,0.98937,18,L,0.85789,,,,,,,,,,,,,,
0.025,0.98937,18,L,0.58643,,,,,,,,,,,,,,
0.05,0.98937,18,L,0.32432,,,,,,,,,,,,,,
0.1,0.98937,18,L,0.12307,,,,,,,,,,,,,,
0.15,0.98937,18,L,0.03414,,,,,,,,,,,,,,
0.2,0.98937,18,L,0.02671,,,,,,,,,,,,,,
0.3,0.98937,18,L,-0.05947,,,,,,,,,,,,,,
0.4,0.98937,18,L,-0.07819,,,,,,,,,,,,,,
0.5,0.98937,18,L,-0.10627,,,,,,,,,,,,,,
0.6,0.98937,18,L,-0.08287,,,,,,,,,,,,,,
0.7,0.98937,18,L,-0.07819,,,,,,,,,,,,,,
0.8,0.98937,18,L,-0.05947,,,,,,,,,,,,,,
0.9,0.98937,18,L,-0.0033,,,,,,,,,,,,,,
0.98,0.98937,18,L,-0.02071,,,,,,,,,,,,,,
