,1.70E-01,2.80E-01
1,0.01,0.109989909
0.95,0.02,0.004036327
0.79,-0.253636364,-0.236125126
0.64,-0.355454545,-0.349142281
0.49,-0.476363636,-0.483350151
0.36,-0.641818182,-0.638748739
0.25,-0.730909091,-0.702320888
0.16,-0.718181818,-0.751765893
0.09,-0.730909091,-0.765893037
0.04,-0.565454545,-0.61049445
0.022,-0.291818182,-0.363269425
0.01,0.007272727,0.074672048
0,1,1.014127144
0.01,0.007272727,0.109989909
0.022,-0.291818182,-0.299697275
0.04,-0.565454545,-0.497477296
0.09,-0.730909091,-0.70938446
0.16,-0.718181818,-0.737638749
0.25,-0.730909091,-0.695257316
0.36,-0.641818182,-0.617558022
0.49,-0.476363636,-0.476286579
0.64,-0.355454545,-0.356205853
0.79,-0.253636364,-0.21493441
0.95,0.02,0.018163471
1,0.01,0.109989909
