,1.30E-01
1,0.088679245
0.95,-0.003773585
0.79,-0.294339623
0.64,-0.505660377
0.49,-0.783018868
0.36,-1.00754717
0.25,-1.291509434
0.16,-1.535849057
0.09,-1.872641509
0.04,-2.156603774
0.022,-2.235849057
0.01,-0.14245283
0,0.1
0.01,1
0.022,0.762264151
0.04,0.537735849
0.06,0.121698113
0.16,-0.122641509
0.25,-0.267924528
0.36,-0.30754717
0.49,-0.274528302
0.64,-0.201886792
0.79,-0.122641509
0.95,0.022641509
1,0.088679245
