,0.5,0.6
0.9501,-0.1008,-0.0883
0.9002,-0.2182,-0.2116
0.8002,-0.391,-0.4079
0.75,-0.457,-0.485
0.7,-0.5044,-0.5417
0.65,-0.5382,..5807
0.6002,-0.5558,-0.6031
0.5502,-0.5684,-0.6176
0.5002,-0.5743,-0.6247
0.4501,-0.5863,-0.0385
0.4003,-0.5981,-0.503
0.3502,-0.6243,-0.093
0.3001,-0.6584,-0.7162
0.2503,-0.6872,-0.7491
0.2003,-0.7352,-0.9017
0.1507,-0.8003,-0.8785
0.1003,-0.9487,-1.0368
0.0759,-1.0716,-1.1751
0.0259,-1.5118,-1.7243
0.0132,-1.4663,-1.3262
0,0.8907,0.9813
0,0.8907,0.9813
0.0126,0.771,0.7775
0.0255,0.5638,0.5732
0.0495,0.3699,0.3796
0.0753,0.2491,0.2573
0.1002,0.1689,0.1734
0.1503,0.0801,0.0788
0.1976,-0.0036,-0.0066
0.2503,-0.099,-0.0657
0.3001,-0.0961,-0.1051
0.3507,-0.1214,-0.1334
0.4001,-0.1209,-0.1426
0.4501,-0.132,-0.1423
0.5001,-0.1046,-0.1125
0.5497,-0.0476,-0.0493
0.6003,0.0211,0.0259
0.65,0.0781,0.0906
0.7,0.1045,0.1807
0.7501,0.244,0.2634
0.8001,0.3131,.331 4
0.8501,0.37,0.4045
