,0.5,0.6
0.9501,-0.0964,-0.0925
0.9002,-0.2062,-0.2134
0.8002,-0.3619,-0.3898
0.75,-0.4189,-0.4556
0.7,-0.4571,-0.5008
0.65,-0.4989,-0.5297
0.6002,-0.4901,-0.5389
0.5502,-0.4939,-0.5423
0.5002,-0.4899,-0.5387
0.4501,-0.4904,-0.3407
0.4003,-0.4915,-0.5423
0.3502,-0.5038,-0.5529
0.3001,-0.5197,-0.3709
0.2503,-0.5267,-0.5809
0.2003,-0.5468,-0.5974
0.1507,-0.5724,-0.6309
0.1003,-0.6487,-0.7052
0.0759,-0.7063,-0.7676
0.0259,-0.8233,-.868A
0.0132,-0.6332,-0.5774
0,1.0626,1.0887
0,1.0626,1.0387
0.0126,0.4524,0.4512
0.0255,0.272,0.2722
0.0495,0.1103,0.1031
0.0753,0.0273,0.017
0.1002,-0.0206,-0.0443
0.1503,-0.084,-0.1063
0.1976,-0.1532,-0.1011
0.2503,-0.1924,-0.2222
0.3001,-0.2165,-0.2484
0.3507,-0.2296,-0.2641
0.4001,-0.2253,-0.26
0.4501,-0.2102,-0.2463
0.5001,-0.1766,-0.2022
0.5497,-0.1083,-0.12
0.6003,-0.0291,-0.0388
0.65,0.0375,0.0357
0.7,0.1318,0.1342
0.7501,0.2169,0.2234
0.8001,0.2892,0.3002
0.8501,0.3563,0.37
