,0.5,0.6
0.9501,-0.0905,-0.087
0.9002,-0.1945,-0.2017
0.8002,-0.3363,-0.3636
0.75,-0.3663,-0.4216
0.7,-0.4176,-0.4588
0.65,-0.4353,-0.4794
0.6002,-0.4372,-0.4812
0.5502,-0.4342,-0.4774
0.5002,-0.4236,-0.4666
0.4501,-0.4161,-0.4588
0.4003,-0.4089,-0.4514
0.3502,-0.4108,-0.4514
0.3001,-0.41,-0.4587
0.2503,-0.4117,-0.4517
0.2003,-0.4081,-0.4414
0.1507,-0.4089,-0.4496
0.1003,-0.4384,-0.4702
0.0759,-0.4552,-0.4879
0.0259,-0.4105,-0.4097
0.0132,-0.1367,-0.0982
0,1.0298,1.0564
0,1.0298,1.0564
0.0126,0.1115,0.1214
0.0255,-0.0069,-0.0044
0.0495,-0.122,-0.131
0.0753,-0.1568,-0.176
0.1002,-0.1978,-0.2161
0.1503,-0.225,-0.2496
0.1976,-0.2812,-0.312
0.2503,-0.3024,-0.3362
0.3001,-0.3144,-0.3449
0.3507,-0.3177,-0.3538
0.4001,-0.3031,-0.3385
0.4501,-0.2842,-0.3136
0.5001,-0.235,-0.2593
0.5497,-0.1578,-0.1725
0.6003,-0.07,-0.0766
0.65,0.0031,0.0051
0.7,0.1023,0.1096
0.7501,0.1911,0.2019
0.8001,0.2654,0.2797
0.8501,0.3327,0.3484
