,0.5,0.7
0.9501,-0.1076,-.096c
0.9002,-0.2096,-0.2208
0.8002,-0.345,-0.4035
0.75,-0.3917,-0.475
0.7,-0.4202,-0.3215
0.65,-0.4345,-0.5444
0.6002,-0.4324,-0.542
0.5502,-0.4261,-0.5254
0.5002,-0.4139,-0.5106
0.4501,-0.4034,-0.5
0.4003,-0.3945,-0.4893
0.3502,-0.3912,-0.4823
0.3001,-0.3948,-.4.00
0.2503,-0.3876,-0.4694
0.2003,-0.3816,-0.4583
0.1507,-0.3785,-0.4545
0.1003,-0.4093,-0.4332
0.0759,-0.4237,-0.4592
0.0259,-0.3109,-0.2473
0.0132,-0.0244,0.1038
0,0.995,1.049
0,0.995,1.0456
0.0126,-0.0059,0.0055
0.0255,-0.0989,-0.1042
0.0495,-0.1996,-0.2271
0.0753,-0.2338,-0.2007
0.1002,-0.2629,-0.3239
0.1503,-0.2815,-0.3589
0.1976,-0.3281,-0.4254
0.2503,-0.3417,-0.448
0.3001,-0.3495,-0.4561
0.3507,-0.3505,-0.4533
0.4001,-0.3344,-0.4295
0.4501,-0.3099,-0.3898
0.5001,-0.2586,-0.3159
0.5497,-0.1762,-0.2043
0.6003,-0.0845,-0.0905
0.65,-0.0042,0.0076
0.7,0.0963,0.1198
0.7501,0.1886,0.2201
0.8001,0.269,0.3062
0.8501,0.3425,0.3799
