,0.5,0.6
0.9501,-0.1011,-0.0916
0.9002,-0.2177,-0.2165
0.8002,-0.3862,-0.4069
0.75,-0.4499,-0.4804
0.7,-0.4949,-0.534
0.65,-0.5264,-0.5698
0.6002,-0.5413,-0.5884
0.5502,-0.5515,-0.5893
0.5002,-0.555,-0.603
0.4501,-0.5541,-0.6143
0.4003,-0.5725,-.+264
0.3502,-0.5933,-0.6481
0.3001,-0.6269,-0.6618
0.2503,-0.6502,-0.7082
0.2003,-0.6823,-0.7587
0.1507,-0.7443,-0.8173
0.1003,-0.873,-0.9545
0.0759,-0.9773,-1.0776
0.0259,-1.3221,-1.4841
0.0132,-1.2266,-1.1501
0,0.9608,1.0238
0,0.9608,1.0238
0.0126,0.6967,0.7056
0.0255,0.4914,0.5026
0.0495,0.3014,0.3107
0.0753,0.1893,0.1958
0.1002,0.1132,0.1192
0.1503,0.032,0.0314
0.1976,-0.0478,-0.0541
0.2503,-0.0994,-0.1095
0.3001,-0.1333,-0.1456
0.3507,-0.1558,-0.1705
0.4001,-0.1605,-0.1767
0.4501,-0.1605,-0.1731
0.5001,-0.13,-0.1402
0.5497,-0.0697,-0.0738
0.6003,0.002,0.0044
0.65,0.0616,0.0714
0.7,0.2506,0.1636
0.7501,0.2319,0.2481
0.8001,0.3022,0.3222
0.8501,0.3688,0.3909
