,0.5,0.7
0.9501,-0.1057,1
0.9002,-0.2188,..0044
0.8002,-0.3863,-0.2059
0.75,-0.4499,-0.4234
0.7,-0.4953,-0.3173
0.65,-0.5261,-0.5903
0.6002,-0.5409,-0.042
0.5502,-0.5505,-0.6723
0.5002,-0.5556,-0.673
0.4501,-0.5649,-0.6463
0.4003,-0.5749,..0090
0.3502,-0.5957,-0.7033
0.3001,-0.6253,-0.6907
0.2503,-0.65,-0.6426
0.2003,-0.6863,-1.232
0.1507,-0.7383,-1.3294
0.1003,-0.8592,-1.3785
0.0759,-0.9834,-1.3802
0.0259,-1.3645,-1.1689
0.0132,-1.2503,-0.7042
0,0.9621,1.0945
0,0.9621,1.0949
0.0126,0.703,0.074
0.0255,0.4995,0.4007
0.0495,0.3099,0.305
0.0753,0.1929,* 1750
0.1002,0.117,0.095
0.1503,0.0284,0
0.1976,-0.0541,-0.0929
0.2503,-0.1065,-0.1527
0.3001,-0.1387,-0.1912
0.3507,-0.1595,-0.2173
0.4001,-0.1645,-0.2232
0.4501,-0.1602,-0.2133
0.5001,-0.1325,-0.1757
0.5497,-0.0706,-0.0954
0.6003,0.0075,-0.0047
0.65,0.0687,0.0733
0.7,0.1564,0.1709
0.7501,0.2377,0.2598
0.8001,0.3104,. 3400
0.8501,0.3811,0.4136
