1,0.00002
0.996203,0.000507
0.98519,0.002393
0.967844,0.00598
0.945073,0.011044
0.917488,0.017053
0.885293,0.023478
0.848455,0.0303
0.80747,0.037786
0.763042,0.045994
0.715952,0.054892
0.667064,0.064373
0.617331,0.074234
0.56783,0.084115
0.519832,0.093288
0.474243,0.099412
0.428461,0.10178
0.382612,0.10186
0.33726,0.10009
0.29297,0.096723
0.250247,0.091928
0.209576,0.085871
0.171409,0.078707
0.136174,0.0706
0.104263,0.061717
0.076035,0.052244
0.051823,0.042372
0.03191,0.032319
0.01659,0.02231
0.006026,0.012635
0.000658,0.003743
0.000204,0.001962
0,0
0,0
0.000213,-0.001774
0.001045,-0.003457
0.001208,-0.003704
0.002398,-0.005246
0.009313,-0.011479
0.02323,-0.020379
0.04232,-0.030249
0.065877,-0.040801
0.093426,-0.051903
0.124111,-0.063062
0.157653,-0.07371
0.193738,-0.083547
0.231914,-0.092422
0.271438,-0.099885
0.311968,-0.105261
0.35337,-0.108161
0.395329,-0.107991
0.438273,-0.104532
0.48192,-0.097327
0.527928,-0.086551
0.576211,-0.073959
0.626092,-0.060624
0.676744,-0.047421
0.727211,-0.03508
0.776432,-0.024184
0.823285,-0.015143
0.86663,-0.008184
0.905365,-0.003343
0.938474,-0.000467
0.965086,0.000763
0.984478,0.000795
0.996141,0.00031
1,0.00002
