,1.40E-01
1,-0.411764706
0.949668874,-0.436105477
0.899337748,-0.622718053
0.850331126,-0.606490872
0.804635762,-0.630831643
0.760927152,-0.663286004
0.715231788,-0.647058824
0.67218543,-0.655172414
0.631125828,-0.655172414
0.593377483,-0.655172414
0.554966887,-0.647058824
0.516556291,-0.671399594
0.48013245,-0.679513185
0.446357616,-0.655172414
0.41192053,-0.671399594
0.381456954,-0.703853955
0.320529801,-0.752535497
0.287417219,-0.760649087
0.239735099,-0.801217039
0.209933775,-0.817444219
0.192715232,-0.8336714
0.166887417,-0.874239351
0.131125828,-0.931034483
0.109933775,-0.979716024
0.094039735,-1.036511156
0.079470199,-1.109533469
0.055629139,-1.223123732
0.041059603,-1.328600406
0.032450331,-1.482758621
0.023178808,-1.661257606
0.01589404,-1.953346856
0.013245033,-2.148073022
0.00794702,-2.68356998
0.001324503,-2.878296146
0,-3.121703854
0.00397351,-0.070993915
0.018543046,0.756592292
0.034437086,0.967545639
0.050331126,0.983772819
0.071523179,0.902636917
0.095364238,0.878296146
0.121192053,0.805273834
0.154966887,0.716024341
0.194701987,0.594320487
0.233112583,0.529411765
0.275496689,0.496957404
0.325827815,0.415821501
0.37615894,0.334685598
0.431125828,0.302231237
0.500662252,0.204868154
0.545695364,0.221095335
0.612582781,0.180527383
0.682119205,0.180527383
0.753642384,0.172413793
0.834437086,0.123732252
0.917880795,0.107505071
