,1.40E-01
1,0.088983051
0.95059151,0.014830508
0.899095338,0.041313559
0.851078636,0.004237288
0.804453723,-0.048728814
0.759916493,-0.117584746
0.714683368,-0.154661017
0.670842032,-0.218220339
0.631871955,-0.276483051
0.59151009,-0.313559322
0.553931802,-0.350635593
0.516353514,-0.377118644
0.480167015,-0.419491525
0.443980515,-0.435381356
0.410577592,-0.461864407
0.368823939,-0.451271186
0.317327766,-0.435381356
0.290187891,-0.408898305
0.23729993,-0.366525424
0.21085595,-0.313559322
0.189283229,-0.287076271
0.167014614,-0.228813559
0.147529576,-0.186440678
0.128044537,-0.133474576
0.109951287,-0.085805085
0.093249826,-0.038135593
0.079331942,0.036016949
0.051496173,0.189618644
0.040361865,0.274364407
0.032011134,0.36440678
0.022268615,0.480932203
0.015309673,0.608050847
0.011134308,0.729872881
-0.001391788,0.925847458
-0.002783577,0.184322034
0.000695894,-0.599576271
0.005567154,-0.906779661
0.015309673,-1.033898305
0.029227557,-0.938559322
0.045929019,-0.816737288
0.066805846,-0.731991525
0.091858038,-0.636652542
0.119693807,-0.583686441
0.153096729,-0.56779661
0.187891441,-0.55190678
0.2289492,-0.525423729
0.271398747,-0.514830508
0.319415449,-0.493644068
0.379958246,-0.472457627
0.423103688,-0.387711864
0.501043841,-0.313559322
0.545581072,-0.218220339
0.611691023,-0.122881356
0.681280445,-0.027542373
0.754349339,0.05720339
0.834377175,0.131355932
0.915796799,0.184322034
1,0.078389831
