,1.40E-01
0.999304106,0.025423729
0.947807933,-0.038135593
0.898399443,-0.032838983
0.850382742,-0.080508475
0.804453723,-0.138771186
0.758524704,-0.218220339
0.713987474,-0.297669492
0.67223382,-0.382415254
0.630480167,-0.456567797
0.588726514,-0.536016949
0.552540014,-0.588983051
0.51565762,-0.657838983
0.47947112,-0.726694915
0.443980515,-0.800847458
0.409185804,-0.859110169
0.377174669,-0.901483051
0.317327766,-0.965042373
0.289491997,-0.991525424
0.23729993,-1.018008475
0.21085595,-1.039194915
0.190675017,-1.039194915
0.16631872,-1.055084746
0.147529576,-1.065677966
0.128044537,-1.076271186
0.110647182,-1.102754237
0.091858038,-1.123940678
0.079331942,-1.139830508
0.052887961,-1.17690678
0.039665971,-1.19279661
0.028531663,-1.219279661
0.021572721,-1.266949153
0.013917884,-1.288135593
0.007654836,-1.272245763
0.006263048,-1.203389831
0.000695894,-1.055084746
-0.001391788,-0.769067797
-0.000695894,0.925847458
0.01809325,0.782838983
0.029227557,0.597457627
0.045929019,0.459745763
0.066805846,0.353813559
0.092553932,0.279661017
0.122477383,0.205508475
0.152400835,0.136652542
0.186499652,0.088983051
0.228253305,0.05720339
0.271398747,-0.006355932
0.317327766,-0.038135593
0.370215727,-0.064618644
0.425887265,-0.064618644
0.501043841,-0.038135593
0.544885177,0.004237288
0.610995129,0.05720339
0.679888657,0.110169492
0.754349339,0.184322034
0.83368128,0.231991525
0.915796799,0.263771186
0.998608212,0.025423729
