,0.106,
0.950562161,-0.421857034,
0.901943299,-0.441567934,
0.852283029,-0.441809707,
0.799489374,-0.427461088,
0.750350826,-0.432568871,
0.70068852,-0.442547753,
0.649460031,-0.442797161,
0.597706766,-0.452786223,
0.550664266,-0.433541055,
0.508322352,-0.433747199,
0.486371357,-0.414379871,
0.466509285,-0.404739473,
0.432527133,-0.424379113,
0.39906874,-0.439147654,
0.376591951,-0.434388535,
0.350977706,-0.434513239,
0.31543548,-0.415212081,
0.299753289,-0.415288431,
0.283546323,-0.425104433,
0.267342411,-0.420314774,
0.250609651,-0.444738984,
0.22551611,-0.454598251,
0.201464995,-0.479058091,
0.17321771,-0.571698049,
0.148606189,-0.776296937,
0.126077483,-1.019834077,
0.104068462,-1.277974335,
0.082591343,-1.492295061,
0.066858253,-1.735799117,
0.050300698,-1.949598586,
0.033677506,-2.17630351,
0.023384198,-2.344578732,
0.013095963,-2.461525085,
0.009105368,-2.846346694,
0.005517636,-3.154189491,
0.003532302,-3.24577573,
0.001159319,-3.260354172,
0,-3.194316436,
0.001277425,-2.29235139,
0.002944671,-1.192591949,
0.008171753,-0.294525114,
0.014546923,0.22219807,
0.031836221,0.7713332,
0.049117171,0.917473808,
0.073175412,0.976013527,
0.099312396,0.976140776,
0.129084126,0.859440541,
0.168785875,0.733051553,
0.209008327,0.596928001,
0.252368235,0.465688273,
0.299905988,0.314994689,
0.349541827,0.198391163,
0.406503146,0.115903146,
0.461906427,0.082093035,
0.525681687,0.087272078,
0.595733894,0.111955876,
0.668400819,0.141520954,
0.744732011,0.195446617,
0.826286528,0.229923513,
0.908348514,0.191374642,
1,-0.119764905,
