	2.20E+06
0	-0.663585952
0.009140768	-2.188539741
0.016453382	-2.14232902
0.021328458	-1.994454713
0.024375381	-1.883548983
0.049360146	-1.597042514
0.073735527	-1.402957486
0.101767215	-1.329020333
0.150517977	-1.153419593
0.200487508	-0.996303142
0.250457038	-0.866913124
0.300426569	-0.79297597
0.349786715	-0.700554529
0.4015844	-0.645101664
0.449116392	-0.589648799
0.500304692	-0.534195933
0.549055454	-0.506469501
0.6496039	-0.386321627
0.673979281	-0.367837338
0.700182815	-0.367837338
0.725776965	-0.340110906
0.750152346	-0.312384473
0.775746496	-0.275415896
0.798293723	-0.256931608
0.825716027	-0.229205176
0.850700792	-0.201478743
0.875685558	-0.182994455
0.899451554	-0.164510166
0.926264473	-0.118299445
0.950030469	-0.072088725
0.976234004	-0.025878004
