	2.20E+06
0	-5.194029851
0.007724719	-0.098081023
0.008426966	0.648187633
0.019662921	0.850746269
0.038623596	0.818763326
0.049859551	0.765458422
0.074438202	0.562899787
0.099719101	0.47761194
0.150280899	0.307036247
0.202247191	0.179104478
0.258426966	0.147121535
0.30758427	0.093816631
0.35252809	0.051172708
0.40238764	0.029850746
0.453651685	0.040511727
0.502808989	0.008528785
0.551264045	-0.002132196
0.677668539	-0.034115139
0.703651685	-0.044776119
0.728932584	-0.044776119
0.752808989	-0.076759062
0.77738764	-0.066098081
0.800561798	-0.066098081
0.828651685	-0.076759062
0.85252809	-0.098081023
0.878511236	-0.076759062
0.901685393	-0.0554371
0.928370787	-0.0554371
0.954353933	-0.066098081
0.97752809	-0.076759062
