,4.20E+05
0.011124845,-1.092675635
0.019777503,-1.092675635
0.030902349,-1.086696562
0.039555006,-1.086696562
0.04697157,-1.086696562
0.055624227,-1.092675635
0.065512979,-1.098654709
0.075401731,-1.110612855
0.088998764,-1.116591928
0.191594561,-1.128550075
0.218788628,-1.116591928
0.248454883,-1.134529148
0.279357231,-1.128550075
0.309023486,-1.122571001
0.337453646,-1.122571001
0.367119901,-1.122571001
0.410383189,-1.104633782
0.446229913,-1.092675635
0.478368356,-1.086696562
0.524103832,-1.074738416
0.600741656,-1.044843049
0.671199011,-1.020926756
0.726823239,-0.985052317
0.762669963,-0.961136024
0.799752781,-0.937219731
0.838071693,-0.919282511
0.875154512,-0.907324365
0.911001236,-0.889387145
0.944375773,-0.889387145
