,0.34,0.39,0.44,0.49,0.49
0.9752,0.087525151,0.082822086,0.092712177,0.07341481,0.068540074
0.9203,0.069416499,0.064417178,0.059501845,0.057838519,0.061146842
0.9,0.042253521,0.050613497,0.04704797,0.040005451,0.038693228
0.8003,0.042253521,0.04601227,0.038745387,0.034848537,0.03304946
0.7504,0.024144869,0.027607362,0.030442804,0.007043426,0.017521348
0.7001,0.001509054,-0.004601227,0.009686347,-0.003923811,0.010464055
0.6502,-0.012072435,-0.009202454,0.001383764,0.002007142,-0.005198433
0.6001,-0.039235412,-0.036809816,-0.011070111,-0.034322458,-0.029264553
0.5502,-0.016599598,-0.018404908,-0.002767528,-0.028391505,-0.023481242
0.5002,-0.030181087,-0.04601227,-0.027675277,-0.04357575,-0.051984334
0.45,-0.030181087,-0.04601227,-0.048431734,-0.058759995,-0.063344225
0.4001,-0.079979879,-0.09202454,-0.081642066,-0.090751958,-0.100116574
0.3501,-0.134305835,-0.147239264,-0.135608856,-0.14394959,-0.154132905
0.3004,-0.179577465,-0.193251534,-0.181273063,-0.184435884,-0.203880234
0.2498,-0.20221328,-0.220858896,-0.210332103,-0.224922177,-0.228047135
0.2002,-0.256539235,-0.271472393,-0.251845018,-0.265408471,-0.273491866
0.1501,-0.261066398,-0.285276074,-0.264298893,-0.284749409,-0.289053572
0.0995,-0.233903421,-0.248466258,-0.235239852,-0.253637037,-0.24484923
0.0664,-0.175050302,-0.202453988,-0.181273063,-0.191980257,-0.195502443
0.0493,-0.120724346,-0.147239264,-0.139760148,-0.14649789,-0.136677022
0.0297,0.024144869,-4.44E-16,0.022140221,0.021277713,0.024470107
0.0095,0.476861167,0.441717791,0.478782288,0.492527111,0.48011129
0,1.002012072,1.012269939,1.018450185,1.027634778,1.038947622
0.0096,-0.759054326,-0.713190184,-0.671125461,-0.675704761,-0.668317838
0.0297,-0.890342052,-0.874233129,-0.874538745,-0.898150682,-0.889197423
0.0497,-0.881287726,-0.892638037,-0.874538745,-0.914174307,-0.905097652
0.0667,-0.836016097,-0.837423313,-0.824723247,-0.854231472,-0.853029764
0.0997,-0.763581489,-0.773006135,-0.762453875,-0.776576198,-0.791348865
0.1494,-0.663983903,-0.671779141,-0.66697417,-0.689612344,-0.690239119
0.1995,-0.573440644,-0.593558282,-0.575645756,-0.611203135,-0.614944958
0.2498,-0.49195171,-0.506134969,-0.488468635,-0.524299595,-0.531012008
0.2999,-0.437625755,-0.441717791,-0.42204797,-0.458511253,-0.455650658
0.3499,-0.347082495,-0.358895706,-0.363929889,-0.358896374,-0.367616674
0.4001,-0.256539235,-0.257668712,-0.243542435,-0.263739762,-0.266674898
0.4497,-0.211267606,-0.216257669,-0.210332103,-0.218976146,-0.216994757
0.4998,-0.20221328,-0.202453988,-0.177121771,-0.191231348,-0.197063266
0.5497,-0.147887324,-0.151840491,-0.139760148,-0.154841434,-0.15582035
0.5996,-0.134305835,-0.128834356,-0.127306273,-0.135500495,-0.127384446
0.6499,-0.098088531,-0.09202454,-0.085793358,-0.107665226,-0.103217545
0.6999,-0.079979879,-0.073619632,-0.060885609,-0.088203658,-0.079117831
0.7501,-0.061871227,-0.064417178,-0.044280443,-0.064525083,-0.063589719
0.7995,-0.025653924,-0.032208589,-0.040129151,-0.03253312,-0.035153814
0.8996,0.006036217,0.009202454,0.005535055,0.002052378,0.0045412
0.92,0.028672032,0.032208589,0.030442804,0.024162769,0.022725811
0.9746,0.028672032,0.036809816,0.042896679,0.039497801,0.034455234
