,0.34,0.34,0.49
0.9752,0.030172414,0.057114228,0.059025403
0.9203,-0.012931034,0.00751503,0.005140376
0.9,-0.025862069,-0.01503006,-0.003372836
0.8003,-0.038793103,-0.042084168,-0.041963098
0.7504,-0.068965517,-0.064629259,-0.063257828
0.7001,-0.112068966,-0.105210421,-0.092691357
0.6502,-0.120689655,-0.118737475,-0.113986087
0.6001,-0.155172414,-0.168336673,-0.139350217
0.5502,-0.159482759,-0.159318637,-0.160680048
0.5002,-0.198275862,-0.195390782,-0.198205574
0.45,-0.215517241,-0.217935872,-0.223558004
0.4001,-0.297413793,-0.294589178,-0.297567721
0.3501,-0.362068966,-0.371242485,-0.37164764
0.3004,-0.452586207,-0.456913828,-0.461923255
0.2498,-0.517241379,-0.52004008,-0.535968073
0.2002,-0.646551724,-0.655310621,-0.662751279
0.1501,-0.724137931,-0.740981964,-0.765235092
0.0995,-0.818965517,-0.835671343,-0.863637806
0.0664,-0.905172414,-0.925851703,-0.953574109
0.0493,-0.982758621,-0.988977956,-1.022929406
0.0297,-1,-1.016032064,-1.063834008
0.0095,-0.900862069,-0.916833667,-0.841116873
0,0.870689655,0.891282565,0.935956425
0.0096,0.543103448,0.548597194,0.570985813
0.0297,0.081896552,0.084168337,0.076379438
0.0497,-0.086206897,-0.082665331,-0.085554113
0.0667,-0.155172414,-0.145791583,-0.154230787
0.0997,-0.219827586,-0.226953908,-0.222509648
0.1494,-0.24137931,-0.249498998,-0.262068704
0.1995,-0.237068966,-0.249498998,-0.248901072
0.2498,-0.211206897,-0.22244489,-0.211328744
0.2999,-0.206896552,-0.208917836,-0.198137712
0.3499,-0.198275862,-0.168336673,-0.148462489
0.4001,-0.077586207,-0.078156313,-0.094694466
0.4497,-0.068965517,-0.069138277,-0.053111241
0.4998,-0.077586207,-0.082665331,-0.064266403
0.5497,-0.038793103,-0.042084168,-0.042959973
0.5996,-0.034482759,-0.03757515,-0.021665243
0.6499,-0.004310345,-0.01503006,-0.008485911
0.6999,4.44E-16,0.003006012,0.004728522
0.7501,-0.00862069,-0.006012024,0.001688758
0.7995,0.017241379,0.021042084,0.031075485
0.8996,0.021551724,0.021042084,0.041250154
0.92,0.034482759,0.05260521,0.061924763
0.9746,0.004310345,0.012024048,0.063083102
