,0.34,0.39,0.49,0.49
0.9752,0.104373757,0.091197822,0.096416919,0.0915
0.9203,0.095427435,0.074863884,0.080392333,0.0735
0.9,0.064115308,0.058529946,0.072290239,0.0555
0.8003,0.077534791,0.066696915,0.07356991,0.0645
0.7504,0.064115308,0.054446461,0.065819539,0.051
0.7001,0.041749503,0.042196007,0.053928318,0.0465
0.6502,0.041749503,0.042196007,0.041999681,0.0375
0.6001,0.023856859,0.034029038,0.034279243,0.0195
0.5502,0.041749503,0.054446461,0.043256902,0.024
0.5002,0.032803181,0.042196007,0.031343231,0.015
0.45,0.041749503,0.042196007,0.036165075,0.0105
0.4001,0.005964215,0.013611615,0.003360074,-0.012
0.3501,-0.043240557,-0.039473684,-0.03363816,-0.057
0.3004,-0.074552684,-0.068058076,-0.062242444,-0.093
0.2498,-0.074552684,-0.072141561,-0.069977849,-0.102
0.2002,-0.123757455,-0.100725953,-0.094411351,-0.129
0.1501,-0.079025845,-0.068058076,-0.068743078,-0.102
0.0995,-0.002982107,0.001361162,-0.001262211,-0.03
0.0664,0.099900596,0.11569873,0.116148312,0.0825
0.0493,0.184890656,0.20553539,0.208294669,0.15
0.0297,0.381709742,0.397459165,0.396571078,0.348
0.0095,0.824552684,0.834392015,0.860598078,0.816
0,0.623260437,0.662885662,0.75627613,0.717
0.0096,-1.729622266,-1.664700544,-1.654725557,-1.65
0.0297,-1.532803181,-1.534029038,-1.621546382,-1.596
0.0497,-1.380715706,-1.370689655,-1.488088824,-1.4835
0.0667,-1.237574553,-1.219600726,-1.316996937,-1.299
0.0997,-1.085487078,-1.076678766,-1.146092136,-1.1325
0.1494,-0.911033797,-0.905172414,-0.967055308,-0.948
0.1995,-0.772365805,-0.762250454,-0.80474651,-0.804
0.2498,-0.656063618,-0.65199637,-0.667507309,-0.678
0.2999,-0.57554672,-0.549909256,-0.584540665,-0.579
0.3499,-0.477137177,-0.455989111,-0.463984594,-0.48
0.4001,-0.351888668,-0.337568058,-0.360156554,-0.3585
0.4497,-0.293737575,-0.288566243,-0.289762126,-0.309
0.4998,-0.27584493,-0.251814882,-0.261142874,-0.273
0.5497,-0.217693837,-0.206896552,-0.20746151,-0.228
0.5996,-0.190854871,-0.186479129,-0.178812325,-0.174
0.6499,-0.137176938,-0.137477314,-0.133480009,-0.1515
0.6999,-0.119284294,-0.112976407,-0.109053991,-0.111
0.7501,-0.092445328,-0.08030853,-0.092969537,-0.093
0.7995,-0.065606362,-0.055807623,-0.055978787,-0.066
0.8996,-0.007455268,0.001361162,-0.007104299,-0.012
0.92,0.014910537,0.009528131,0.026082358,0.006
0.9746,0.032803181,0.034029038,0.046262759,0.024
