,0.34,0.34,0.49
0.9752,0.075539568,0.100664767,0.002945138
0.9203,0.021582734,0.034188034,-0.039041034
0.9,0.003597122,-0.00379867,-0.065726856
0.8003,-0.068345324,-0.060778727,-0.111915237
0.7504,-0.122302158,-0.098765432,-0.144742749
0.7001,-0.167266187,-0.174738841,-0.196893239
0.6502,-0.212230216,-0.212725546,-0.220059262
0.6001,-0.26618705,-0.250712251,-0.310855706
0.5502,-0.284172662,-0.288698955,-0.334237227
0.5002,-0.338129496,-0.364672365,-0.405638861
0.45,-0.392086331,-0.412155745,-0.477112328
0.4001,-0.482014388,-0.516619183,-0.54872946
0.3501,-0.616906475,-0.640075973,-0.658920715
0.3004,-0.787769784,-0.801519468,-0.778773458
0.2498,-0.931654676,-0.943969611,-0.946789979
0.2002,-1.165467626,-1.200379867,-1.172919099
0.1501,-1.408273381,-1.456790123,-1.476340128
0.0995,-1.723021583,-1.760683761,-1.934344976
0.0664,-2.145683453,-2.169040836,-2.442668582
0.0493,-2.487410072,-2.539411206,-2.827116818
0.0297,-3.071942446,-3.0997151,-3.569040136
0.0095,-4.654676259,-4.685660019,-3.982041843
0,-1.561151079,-1.618233618,-0.714878333
0.0096,1.100719424,1.069325736,1.109850049
0.0297,0.929856115,0.917378917,0.866157852
0.0497,0.723021583,0.73694207,0.6996139
0.0667,0.606115108,0.622981956,0.591469875
0.0997,0.45323741,0.471035138,0.442668582
0.1494,0.327338129,0.319088319,0.310604292
0.1995,0.273381295,0.262108262,0.247319745
0.2498,0.21942446,0.224121557,0.20292718
0.2999,0.192446043,0.1671415,0.158534614
0.3499,0.183453237,0.176638177,0.171823651
0.4001,0.21942446,0.214624881,0.195348837
0.4497,0.237410072,0.24311491,0.179868905
0.4998,0.174460432,0.186134853,0.164101643
0.5497,0.192446043,0.186134853,0.168160187
0.5996,0.201438849,0.186134853,0.181592889
0.6499,0.201438849,0.205128205,0.175846278
0.6999,0.237410072,0.186134853,0.160366346
0.7501,0.165467626,0.1671415,0.144814582
0.7995,0.15647482,0.1671415,0.139067972
0.8996,0.165467626,0.157644824,0.07933914
0.92,0.165467626,0.176638177,0.105881297
0.9746,0.084532374,0.110161443,-0.016449672
