,1.00E+05
-0.000931966,-0.695042095
0.003727866,-2.333956969
0.003727866,-2.472404116
0.010251631,-2.633302152
0.017707363,-2.65575304
0.02889096,-2.554724041
0.034482759,-2.479887746
0.043802423,-2.393826006
0.049394222,-2.270346118
0.073625349,-2.098222638
0.088536813,-1.978484565
0.108108108,-1.948550047
0.127679404,-1.918615529
0.150046598,-1.907390084
0.169617894,-1.907390084
0.193849021,-1.873713751
0.220876048,-1.869971936
0.245107176,-1.275023386
0.274930103,-0.986903648
0.304753029,-0.923292797
0.332712022,-0.900841908
0.36999068,-0.855940131
0.405405405,-0.78484565
0.439888164,-0.732460243
0.479030755,-0.653882133
0.520037279,-0.594013096
0.561043802,-0.52666043
0.599254427,-0.455565949
0.640260951,-0.399438728
0.68499534,-0.324602432
0.741845294,-0.26847521
0.806150979,-0.1898971
0.878844362,-0.126286249
0.960857409,-0.073900842
