,1.00E+05
0.005591799,0.640785781
0.010251631,0.884003742
0.022367195,0.872778297
0.036346692,0.775491113
0.045666356,0.681945744
0.051258155,0.610851263
0.072693383,0.457436857
0.088536813,0.363891487
0.108108108,0.285313377
0.129543336,0.225444341
0.148182665,0.176800748
0.17054986,0.139382601
0.192917055,0.083255379
0.219944082,0.072029935
0.243243243,-0.014031805
0.27306617,-0.055191768
0.304753029,-0.107577175
0.332712022,-0.107577175
0.36999068,-0.107577175
0.403541473,-0.122544434
0.438956198,-0.122544434
0.479962721,-0.130028064
0.520969245,-0.133769878
0.561043802,-0.130028064
0.599254427,-0.130028064
0.642124884,-0.122544434
0.686859273,-0.10383536
0.744641193,-0.107577175
0.808014911,-0.096351731
0.878844362,-0.062675398
0.960857409,-0.032740879
