,1.00E+05
0.001862197,0.1369606
0.005586592,0.842401501
0.013035382,0.872420263
0.022346369,0.82739212
0.02886406,0.771106942
0.037243948,0.632270169
0.044692737,0.56097561
0.053072626,0.48217636
0.072625698,0.294559099
0.089385475,0.212007505
0.108938547,0.12945591
0.132216015,0.054409006
0.150837989,0.024390244
0.169459963,0.001876173
0.195530726,-0.076923077
0.22160149,-0.088180113
0.246741155,-0.185741088
0.275605214,-0.245778612
0.304469274,-0.260787992
0.335195531,-0.290806754
0.372439479,-0.30206379
0.402234637,-0.320825516
0.440409683,-0.332082552
0.480446927,-0.358348968
0.517690875,-0.365853659
0.560521415,-0.377110694
0.601489758,-0.380863039
0.641527002,-0.403377111
0.689013035,-0.425891182
0.741154562,-0.463414634
0.809124767,-0.444652908
0.878957169,-0.489681051
0.959962756,-0.56097561
