xc,yb,section,surf,cp,std,,,,,,,,,,,,0.96556,0.98937
0.95,0.375,1,U,0.041855978,,,,,,,,,,,,,,
0.85,0.375,1,U,-0.055501141,,,,,,,,,,,,,,
0.75,0.375,1,U,-0.176239134,,,,,,,,,,,,,,
0.65,0.375,1,U,-0.279426726,,,,,,,,,,,,,,
0.55,0.375,1,U,-0.400046762,,,,,,,,,,,,,,
0.45,0.375,1,U,-0.590809421,,,,,,,,,,,,,,
0.35,0.375,1,U,-0.769734195,,,,,,,,,,,,,,
0.25,0.375,1,U,-1.030462541,,,,,,,,,,,,,,
0.2,0.375,1,U,-1.218984006,,,,,,,,,,,,,,
0.15,0.375,1,U,-1.448495725,,,,,,,,,,,,,,
0.1,0.375,1,U,-1.683778939,,,,,,,,,,,,,,
0.075,0.375,1,U,-1.859754775,,,,,,,,,,,,,,
0.05,0.375,1,U,-2.210644828,,,,,,,,,,,,,,
0.025,0.375,1,U,-2.88203401,,,,,,,,,,,,,,
0.01,0.375,1,U,-3.092638816,,,,,,,,,,,,,,
0.0075,0.375,1,U,-3.19788224,,,,,,,,,,,,,,
0,0.375,1,U,-1.279597343,,,,,,,,,,,,,,
0.0075,0.375,1,L,0.685685218,,,,,,,,,,,,,,
0.01,0.375,1,L,0.98386509,,,,,,,,,,,,,,
0.025,0.375,1,L,0.97,,,,,,,,,,,,,,
0.05,0.375,1,L,0.769081216,,,,,,,,,,,,,,
0.075,0.375,1,L,0.595228617,,,,,,,,,,,,,,
0.1,0.375,1,L,0.508833126,,,,,,,,,,,,,,
0.15,0.375,1,L,0.30665386,,,,,,,,,,,,,,
0.2,0.375,1,L,0.215548492,,,,,,,,,,,,,,
0.25,0.375,1,L,0.147470126,,,,,,,,,,,,,,
0.35,0.375,1,L,0.058311058,,,,,,,,,,,,,,
0.45,0.375,1,L,0.004016876,,,,,,,,,,,,,,
0.55,0.375,1,L,0.013975865,,,,,,,,,,,,,,
0.65,0.375,1,L,0.006384453,,,,,,,,,,,,,,
0.75,0.375,1,L,0.027768475,,,,,,,,,,,,,,
0.85,0.375,1,L,0.055336843,,,,,,,,,,,,,,
0.95,0.375,1,L,0.0593474,,,,,,,,,,,,,,
0.95,0.542,2,U,0.047578187,,,,,,,,,,,,,,
0.85,0.542,2,U,-0.048187874,,,,,,,,,,,,,,
0.55,0.542,2,U,-0.396161228,,,,,,,,,,,,,,
0.25,0.542,2,U,-1.065055888,,,,,,,,,,,,,,
0.1,0.542,2,U,-1.759083211,,,,,,,,,,,,,,
0.05,0.542,2,U,-2.473546348,,,,,,,,,,,,,,
0.025,0.542,2,U,-2.982928757,,,,,,,,,,,,,,
0,0.542,2,U,-0.759331602,,,,,,,,,,,,,,
0.025,0.542,2,L,1.000519363,,,,,,,,,,,,,,
0.05,0.542,2,L,0.829332731,,,,,,,,,,,,,,
0.1,0.542,2,L,0.531466637,,,,,,,,,,,,,,
0.95,0.667,3,U,0.072242557,,,,,,,,,,,,,,
0.85,0.667,3,U,-0.023956285,,,,,,,,,,,,,,
0.55,0.667,3,U,-0.393338579,,,,,,,,,,,,,,
0.25,0.667,3,U,-1.005925231,,,,,,,,,,,,,,
0.1,0.667,3,U,-1.717268498,,,,,,,,,,,,,,
0.05,0.667,3,U,-2.390444475,,,,,,,,,,,,,,
0.025,0.667,3,U,-2.767574828,,,,,,,,,,,,,,
0,0.667,3,U,-0.933410703,,,,,,,,,,,,,,
0.025,0.667,3,L,0.977793879,,,,,,,,,,,,,,
0.05,0.667,3,L,0.74127461,,,,,,,,,,,,,,
0.1,0.667,3,L,0.459346564,,,,,,,,,,,,,,
