,0.12,cp
0.986,0.087248322,2%
0.936,0.040268456,2%
0.881,-0.040268456,2%
0.825,-0.10738255,2%
0.75,-0.208053691,2%
0.625,-0.342281879,2%
0.45,-0.570469799,2%
0.25,-1.040268456,2%
0.1,-1.976510067,2%
0.05,-2.255033557,2%
0.024,-2.44966443,2%
0,-0.624161074,2%
0.024,0.906040268,2%
0.05,0.731543624,2%
0.1,0.55033557,2%
0.25,0.238255034,2%
0.45,0.090604027,2%
0.625,0.05704698,2%
0.75,0.05033557,2%
0.825,0.053691275,2%
0.881,0.053691275,2%
0.936,0.070469799,2%
0.986,0.104026846,2%
