,0.12,cp
0.986,0.11299435,2%
0.936,0.036723164,2%
0.881,-0.059322034,2%
0.825,-0.098870056,2%
0.75,-0.172316384,2%
0.625,-0.262711864,2%
0.45,-0.401129944,2%
0.25,-0.649717514,2%
0.1,-1.02259887,2%
0.05,-0.903954802,2%
0.024,-0.677966102,2%
0,0.951977401,2%
0.024,0.211864407,2%
0.05,0.152542373,2%
0.1,0.101694915,2%
0.25,-0.101694915,2%
0.45,-0.129943503,2%
0.625,-0.110169492,2%
0.75,-0.059322034,2%
0.825,-0.042372881,2%
0.881,-0.005649718,2%
0.936,0.036723164,2%
0.986,0.115819209,2%
