,0.12,cp
0.986,-0.080870982,2%
0.936,-0.066880831,2%
0.881,-0.066583494,2%
0.825,-0.069023494,2%
0.75,-0.063119675,2%
0.625,-0.054184248,2%
0.45,-0.036763996,2%
0.25,0.027433141,2%
0.1,0.272426313,2%
0.05,0.582726271,2%
0.024,0.840737885,2%
0,-1.161855381,2%
0.024,-1.23057694,2%
0.05,-1.208770206,2%
0.1,-1.244717293,2%
0.25,-1.061732615,2%
0.45,-0.582704814,2%
0.625,-0.345010185,2%
0.75,-0.238704654,2%
0.825,-0.189729929,2%
0.881,-0.173581788,2%
0.936,-0.138232441,2%
0.986,-0.089101384,2%
