,0.12,cp
0.986,-0.391879888,2%
0.936,-0.29859227,2%
0.881,-0.26675676,2%
0.825,-0.220304772,2%
0.75,-0.188579862,2%
0.625,-0.139608269,2%
0.45,-0.067538563,2%
0.25,0.036556746,2%
0.1,0.292982778,2%
0.05,0.614337904,2%
0.024,0.886123506,2%
0,-0.576025383,2%
0.024,-0.555381207,2%
0.05,-0.549394984,2%
0.1,-0.578323788,2%
0.25,-0.606716874,2%
0.45,-0.617223872,2%
0.625,-0.613294116,2%
0.75,-0.603785975,2%
0.825,-0.603336663,2%
0.881,-0.573782277,2%
0.936,-0.53835918,2%
0.986,-0.453287066,2%
