,0.12,cp
0.986,0.106918239,2%
0.936,0.028301887,2%
0.881,-0.056603774,2%
0.825,-0.113207547,2%
0.75,-0.194968553,2%
0.625,-0.314465409,2%
0.45,-0.477987421,2%
0.25,-0.86163522,2%
0.1,-1.471698113,2%
0.05,-1.534591195,2%
0.024,-1.490566038,2%
0,0.528301887,2%
0.024,0.65408805,2%
0.05,0.477987421,2%
0.1,0.355345912,2%
0.25,0.072327044,2%
0.45,0.009433962,2%
0.625,-0.028301887,2%
0.75,-0.003144654,2%
0.825,0.025157233,2%
0.881,0.01572327,2%
0.936,0.031446541,2%
0.986,0.103773585,2%
