,0.12,cp
0.986,0.105882353,2%
0.936,0.02745098,2%
0.881,-0.040522876,2%
0.825,-0.08496732,2%
0.75,-0.134640523,2%
0.625,-0.194771242,2%
0.45,-0.296732026,2%
0.25,-0.450980392,2%
0.1,-0.589542484,2%
0.05,-0.356862745,2%
0.024,-0.003921569,2%
0,0.735947712,2%
0.024,-0.411764706,2%
0.05,-0.262745098,2%
0.1,-0.192156863,2%
0.25,-0.281045752,2%
0.45,-0.210457516,2%
0.625,-0.132026144,2%
0.75,-0.092810458,2%
0.825,-0.040522876,2%
0.881,0.009150327,2%
0.936,0.02745098,2%
0.986,0.108496732,2%
